date,open_pric,high_pric,low_pric,close_pric,pred_rt,flu_rt,trde_qty,amt_mn,crd_rt,ind,orgn,for_qty,frgn,prm,for_rt,for_poss,for_wght,for_netprps,orgn_netprps,ind_netprps,crd_remn_rt
20241202,+109200,+109200,-106000,-106600,-500,-0.47,144939,15505,0.00,--3811,+13937,--10237,--6329,--4944,+21.70,+21.70,+21.70,--10237,+13937,--3811,0.00
20241203,+108700,+109900,+108500,+109000,+2400,+2.25,249657,27267,0.00,--22912,+42307,--19694,--20126,+49170,+21.70,+21.70,+21.70,--19694,+42307,--22912,0.00
20241204,-108000,-108000,-103000,-104200,-4800,-4.40,341039,35666,0.00,+46741,+23122,--68211,--59891,--38349,+21.66,+21.66,+21.66,--68211,+23122,+46741,0.00
20241205,+104600,+105300,-101200,-101500,-2700,-2.59,302713,31032,0.00,+18077,--4363,--59966,--382,+50690,+21.63,+21.63,+21.63,--59966,--4363,+18077,0.00
20241206,101500,+103300,-99000,+102800,+1300,+1.28,323043,32740,0.00,--17090,+36312,+10972,--49974,+14368,+21.63,+21.63,+21.63,+10972,+36312,--17090,0.00
20241209,-101800,-101800,-98000,-98000,-4800,-4.67,320840,31802,0.01,+20216,+29333,--50310,--100238,+45369,+21.61,+21.61,+21.61,--50310,+29333,+20216,0.01
20241210,+99000,+100800,+98100,+100500,+2500,+2.55,252143,25178,0.00,--10162,+15785,--5747,--19540,+8913,+21.60,+21.60,+21.60,--5747,+15785,--10162,0.00
20241211,-98900,+102300,-98800,+101500,+1000,+1.00,166361,16853,0.00,+475,+37008,--48921,--19053,--10921,+21.58,+21.58,+21.58,--48921,+37008,+475,0.00
20241212,+102900,+105500,+102100,+103900,+2400,+2.36,502884,52367,0.00,+2280,--158398,+154570,+28902,+214109,+21.65,+21.65,+21.65,+154570,--158398,+2280,0.00
20241213,103900,+104200,-98300,-98800,-5100,-4.91,410434,40983,0.00,+158266,--138563,--26235,--123571,--98162,+21.64,+21.64,+21.64,--26235,--138563,+158266,0.00
20241216,+100000,+101000,-98000,-98200,-600,-0.61,187232,18531,0.00,+24584,--19058,--5656,--23892,+14071,+21.63,+21.63,+21.63,--5656,--19058,+24584,0.00
20241217,+98400,+100300,-96700,+98700,+500,+0.51,461074,45392,0.01,--10080,+137576,--127544,--25173,--5133,+21.57,+21.57,+21.57,--127544,+137576,--10080,0.01
20241218,+99600,+100700,-97900,+100000,+1300,+1.32,287346,28515,0.01,--32509,+75343,--42769,--26856,--12171,+21.54,+21.54,+21.54,--42769,+75343,--32509,0.01
20241219,-98000,+100100,-97600,-98500,-1500,-1.50,268058,26517,0.02,--2422,+50038,--245860,--24739,--16282,+21.42,+21.42,+21.42,--245860,+50038,--2422,0.02
20241220,-98100,+99300,-97700,98500,0,0.00,212917,20949,0.01,+2258,+29885,--39812,--46978,--34264,+21.40,+21.40,+21.40,--39812,+29885,+2258,0.01
20241223,+99300,+103100,-98100,+102800,+4300,+4.37,239115,24369,0.01,--89390,+59417,+21828,+3918,+32381,+21.41,+21.41,+21.41,+21828,+59417,--89390,0.01
20241224,102800,+103400,-102200,-102600,-200,-0.19,160486,16483,0.01,--23368,+31134,--7633,--22056,--11399,+21.41,+21.41,+21.41,--7633,+31134,--23368,0.01
20241226,+103400,+103400,-99800,-100500,-2100,-2.05,163192,16437,0.00,+12578,+5163,--17575,--12420,--8754,+21.40,+21.40,+21.40,--17575,+5163,+12578,0.00
20241227,-97400,-98300,-96300,-97200,-3300,-3.28,301311,29251,0.00,+59507,--96427,+53653,--32076,+68919,+21.42,+21.42,+21.42,+53653,--96427,+59507,0.00
20241230,+98100,+98100,-94600,-94800,-2400,-2.47,261424,25145,0.01,+60014,--88439,+28041,--63416,+48396,+21.44,+21.44,+21.44,+28041,--88439,+60014,0.01
20250102,-93300,-94600,-91000,-91500,-3300,-3.48,358508,33012,0.01,+69343,--76545,+182810,--61565,+35554,+21.53,+21.53,+21.53,+182810,--76545,+69343,0.01
20250103,+92100,+94500,+91900,+93200,+1700,+1.86,280120,26014,0.01,--10983,--36536,+50501,--25403,+96148,+21.56,+21.56,+21.56,+50501,--36536,--10983,0.01
20250106,-92800,+93600,-90700,-92600,-600,-0.64,344271,31592,0.02,+50371,--108568,+57795,--56833,+109443,+21.58,+21.58,+21.58,+57795,--108568,+50371,0.02
20250107,92600,+93800,-92000,92600,0,0.00,148136,13731,0.01,+2224,--32289,+30003,--24753,+29614,+21.60,+21.60,+21.60,+30003,--32289,+2224,0.01
20250108,-92500,+95500,-92000,+95200,+2600,+2.81,340850,32187,0.01,--42716,--8240,+51501,--27983,+57014,+21.62,+21.62,+21.62,+51501,--8240,--42716,0.01
20250109,-94100,+95400,-93800,-94000,-1200,-1.26,198085,18689,0.01,+17516,--16084,+8439,+17905,--24275,+21.63,+21.63,+21.63,+8439,--16084,+17516,0.01
20250110,-93100,+94900,-93000,-93900,-100,-0.11,243047,22845,0.01,--149,--38920,+42037,--12217,+6551,+21.65,+21.65,+21.65,+42037,--38920,--149,0.01
20250113,-93400,+94200,-92800,93900,0,0.00,269150,25164,0.01,+537,+16687,--17286,--84393,+15049,+21.64,+21.64,+21.64,--17286,+16687,+537,0.01
20250114,+94600,+94600,-92500,-93500,-400,-0.43,293758,27436,0.01,+2387,--17862,+15447,--84284,+19594,+21.65,+21.65,+21.65,+15447,--17862,+2387,0.01
20250115,+94000,+94200,-90000,-91000,-2500,-2.67,334945,30576,0.01,+88992,--78248,--11786,--54901,--3544,+21.64,+21.64,+21.64,--11786,--78248,+88992,0.01
20250116,+92000,+92500,-90600,+91300,+300,+0.33,312247,28555,0.01,--1624,--63314,+72966,--76063,+53731,+21.68,+21.68,+21.68,+72966,--63314,--1624,0.01
