date,open_pric,high_pric,low_pric,close_pric,pred_rt,flu_rt,trde_qty,amt_mn,crd_rt,ind,orgn,for_qty,frgn,prm,for_rt,for_poss,for_wght,for_netprps,orgn_netprps,ind_netprps,crd_remn_rt
20241202,+25000,+28350,+24850,+26800,+2050,+8.28,2181029,59401,0.37,--267416,+236846,+7067,+22699,--4142,+37.84,+37.84,+37.84,+7067,+236846,--267416,0.37
20241203,+27500,+27550,-26500,+26900,+100,+0.37,664642,17905,0.37,+43499,+28340,--68289,--33376,--75476,+37.79,+37.79,+37.79,--68289,+28340,+43499,0.37
20241204,-26100,+33200,-25600,+32950,+6050,+22.49,7524169,229111,0.40,--159177,+480138,--354001,--94213,--311189,+37.53,+37.53,+37.53,--354001,+480138,--159177,0.40
20241205,-31650,-32000,-28350,-28600,-4350,-13.20,3335738,99378,0.41,+442798,--43330,--366419,--354514,--359402,+37.26,+37.26,+37.26,--366419,--43330,+442798,0.41
20241206,+29150,+32300,-27850,+30350,+1750,+6.12,8161082,251249,0.53,--254219,+494078,--203714,--109052,--190302,+37.11,+37.11,+37.11,--203714,+494078,--254219,0.53
20241209,-29100,+32250,-28800,+30600,+250,+0.82,3683795,113644,0.59,+98681,+152604,--179937,--174648,--251037,+36.97,+36.97,+36.97,--179937,+152604,+98681,0.59
20241210,+30900,+32600,-30000,-30300,-300,-0.98,2855620,89236,0.54,+187132,--44278,--44847,--154015,--138843,+36.94,+36.94,+36.94,--44847,--44278,+187132,0.54
20241211,+30600,+31300,-29400,+30400,+100,+0.33,1576861,47624,0.58,+66422,--155935,+91659,+68610,+83516,+37.01,+37.01,+37.01,+91659,--155935,+66422,0.58
20241212,+30650,+30700,-29150,-30300,-100,-0.33,1549020,46558,0.61,--184049,+177600,+6409,+31944,+121468,+37.01,+37.01,+37.01,+6409,+177600,--184049,0.61
20241213,-30150,+33650,-29950,+33450,+3150,+10.40,3634849,117146,0.65,--372400,+206376,+160446,+109306,+167134,+37.13,+37.13,+37.13,+160446,+206376,--372400,0.65
