date,open_pric,high_pric,low_pric,close_pric,pred_rt,flu_rt,trde_qty,amt_mn,crd_rt,ind,orgn,for_qty,frgn,prm,for_rt,for_poss,for_wght,for_netprps,orgn_netprps,ind_netprps,crd_remn_rt
20241202,-16120,-16120,-15965,-15985,-245,-1.51,164999,2644,0.63,--24103,+25285,--1504,0,0,+0.04,+0.04,+0.04,--1504,+25285,--24103,0.63
20241203,+16075,+16135,+16035,+16135,+150,+0.94,64557,1038,0.62,+7902,--7327,+1456,0,0,+0.06,+0.06,+0.06,+1456,--7327,+7902,0.62
20241204,-16100,+16140,-16055,16135,0,0.00,62996,1014,0.39,+13283,--13891,--20,0,0,+0.06,+0.06,+0.06,--20,--13891,+13283,0.39
20241205,+16140,+16180,-16110,+16145,+10,+0.06,51846,836,0.50,+12442,--13421,--5,0,0,+0.06,+0.06,+0.06,--5,--13421,+12442,0.50
20241206,-16050,-16095,-15915,-16080,-65,-0.40,151508,2425,0.56,--23296,+23266,+25,0,0,+0.06,+0.06,+0.06,+25,+23266,--23296,0.56
20241209,-16070,+16140,-16005,16080,0,0.00,134398,2159,0.60,--29057,+30270,--1238,0,0,+0.05,+0.05,+0.05,--1238,+30270,--29057,0.60
20241210,+16190,+16280,+16185,+16255,+175,+1.09,171076,2778,0.36,+15792,--17216,+1478,0,0,+0.06,+0.06,+0.06,+1478,--17216,+15792,0.36
20241211,+16435,+16545,+16430,+16495,+240,+1.48,248723,4102,0.02,--12834,--17988,0,0,0,+0.06,+0.06,+0.06,0,--17988,--12834,0.02
20241212,+16635,+16675,+16570,+16605,+110,+0.67,183388,3046,0.08,--6869,--71361,--1737,0,0,+0.04,+0.04,+0.04,--1737,--71361,--6869,0.08
20241213,-16340,-16405,-16315,-16345,-260,-1.57,60488,989,0.18,+19191,--19377,+81,0,0,+0.04,+0.04,+0.04,+81,--19377,+19191,0.18
20241216,-16125,-16155,-16075,-16155,-190,-1.16,55224,890,0.19,+26266,--25306,+1461,0,0,+0.06,+0.06,+0.06,+1461,--25306,+26266,0.19
20241217,-16125,+16160,-16105,-16105,-50,-0.31,51858,836,0.17,+8230,--6695,--1549,0,0,+0.04,+0.04,+0.04,--1549,--6695,+8230,0.17
20241218,-16090,+16110,-16060,-16090,-15,-0.09,60797,978,0.17,--778,--92,+818,0,0,+0.05,+0.05,+0.05,+818,--92,--778,0.17
20241219,-15735,-15895,-15710,-15845,-245,-1.52,86651,1370,0.15,+37182,--41690,+974,0,0,+0.06,+0.06,+0.06,+974,--41690,+37182,0.15
20241220,-15745,-15795,-15710,-15795,-50,-0.32,72952,1149,0.00,+7622,--12982,0,0,0,+0.06,+0.06,+0.06,0,--12982,+7622,0.00
20241223,+15950,+15980,+15920,+15970,+175,+1.11,64412,1028,0.09,--2061,+885,+176,0,0,+0.06,+0.06,+0.06,+176,+885,--2061,0.09
20241224,-15895,-15920,-15875,-15905,-65,-0.41,57557,915,0.09,+15982,--16004,0,0,0,+0.06,+0.06,+0.06,0,--16004,+15982,0.09
20241226,+15915,+15990,+15915,+15965,+60,+0.38,65093,1039,0.11,+11130,--11645,0,0,0,+0.06,+0.06,+0.06,0,--11645,+11130,0.11
20241227,+16015,+16035,+15990,+16015,+50,+0.31,59999,961,0.16,+19819,--21947,--1650,0,0,+0.05,+0.05,+0.05,--1650,--21947,+19819,0.16
20241230,-15970,-15970,-15915,-15915,-100,-0.62,72284,1152,0.17,+32773,--35550,+701,0,0,+0.05,+0.05,+0.05,+701,--35550,+32773,0.17
20250102,+15945,+16010,+15945,+16000,+85,+0.53,99330,1588,0.21,--12734,+9932,+901,0,0,+0.06,+0.06,+0.06,+901,+9932,--12734,0.21
20250103,+16135,+16205,+16135,+16160,+160,+1.00,118657,1918,0.27,+44774,--44773,0,0,0,+0.06,+0.06,+0.06,0,--44773,+44774,0.27
20250106,-16050,-16100,-15985,-15985,-175,-1.08,149235,2394,0.15,+73826,--73839,0,0,0,+0.06,+0.06,+0.06,0,--73839,+73826,0.15
20250107,+15990,+16075,-15980,+16075,+90,+0.56,107949,1728,0.25,--17636,+17637,0,0,0,+0.06,+0.06,+0.06,0,+17637,--17636,0.25
20250108,+16100,+16130,+16080,+16130,+55,+0.34,89695,1444,0.37,+28608,--30641,0,0,0,+0.06,+0.06,+0.06,0,--30641,+28608,0.37
20250109,+16195,+16210,+16175,+16195,+65,+0.40,69279,1122,0.00,+21738,--21831,0,0,0,+0.06,+0.06,+0.06,0,--21831,+21738,0.00
20250110,+16285,+16345,+16280,+16345,+150,+0.93,77467,1264,0.16,+11692,--11671,0,0,0,+0.06,+0.06,+0.06,0,--11671,+11692,0.16
20250113,+16440,+16475,+16385,+16425,+80,+0.49,100415,1649,0.18,+15518,--13767,--1920,0,0,+0.04,+0.04,+0.04,--1920,--13767,+15518,0.18
20250114,-16265,-16270,-16230,-16240,-185,-1.13,90243,1466,0.17,+44484,--46280,+1212,0,0,+0.05,+0.05,+0.05,+1212,--46280,+44484,0.17
20250115,+16280,+16310,+16250,+16310,+70,+0.43,107289,1747,0.26,--64941,+65798,--958,0,0,+0.04,+0.04,+0.04,--958,+65798,--64941,0.26
20250116,+16465,+16520,+16445,+16470,+160,+0.98,115256,1899,0.53,--40680,+40533,+294,0,0,+0.05,+0.05,+0.05,+294,+40533,--40680,0.53
