date,open_pric,high_pric,low_pric,close_pric,pred_rt,flu_rt,trde_qty,amt_mn,crd_rt,ind,orgn,for_qty,frgn,prm,for_rt,for_poss,for_wght,for_netprps,orgn_netprps,ind_netprps,crd_remn_rt
20241202,+96800,+97200,-95900,+96400,+200,+0.21,719699,69444,0.02,--17048,+181723,--164936,--181800,--85470,+78.04,+78.04,+78.04,--164936,+181723,--17048,0.02
20241203,+97400,+101900,+97400,+101200,+4800,+4.98,1757811,176049,0.02,--375905,+51578,+381625,+270595,+274797,+78.14,+78.14,+78.14,+381625,+51578,--375905,0.02
20241204,-97300,-98400,-94000,-95400,-5800,-5.73,4313125,412869,0.02,+902573,--428437,--483507,+131978,+607283,+78.02,+78.02,+78.02,--483507,--428437,+902573,0.02
20241205,-92700,-94200,-85800,-85800,-9600,-10.06,4884267,429333,0.03,+1828405,+101918,--1993822,--1808061,--364236,+77.50,+77.50,+77.50,--1993822,+101918,+1828405,0.03
20241206,-84900,+88600,-84900,-85300,-500,-0.58,4850007,418179,0.04,+519636,+752610,--1263995,--983422,--102085,+77.18,+77.18,+77.18,--1263995,+752610,+519636,0.04
20241209,-83600,-84600,-81600,-82800,-2500,-2.93,3374866,279676,0.10,--159508,+651400,--522957,--774404,+396576,+77.04,+77.04,+77.04,--522957,+651400,--159508,0.10
20241210,+84000,+85300,+83300,+83300,+500,+0.60,2698978,227113,0.10,+202820,+211948,--423494,--584319,--618956,+76.93,+76.93,+76.93,--423494,+211948,+202820,0.10
20241211,-82800,+85800,-82400,+85400,+2100,+2.52,2355417,199468,0.10,+74906,+195034,--275758,--3248,--394445,+76.86,+76.86,+76.86,--275758,+195034,+74906,0.10
20241212,+87000,+88300,+86000,+87000,+1600,+1.87,2791966,242744,0.11,--4480,--119422,+125757,+228007,--101070,+76.89,+76.89,+76.89,+125757,--119422,--4480,0.11
20241213,-86100,87000,-85000,-85000,-2000,-2.30,1694440,145464,0.11,+368783,--269363,--129904,--188591,+38993,+76.85,+76.85,+76.85,--129904,--269363,+368783,0.11
20241216,+85400,+86500,-84200,-84600,-400,-0.47,1548003,131859,0.10,+97902,+81631,--183279,+17701,--70680,+76.80,+76.80,+76.80,--183279,+81631,+97902,0.10
20241217,-83900,+85800,-83700,-84400,-200,-0.24,1655078,140216,0.11,+64431,+50801,--123369,+58143,--39275,+76.76,+76.76,+76.76,--123369,+50801,+64431,0.11
20241218,+84500,+87600,+84500,+87200,+2800,+3.32,1285529,111335,0.10,--371585,+152270,+223556,+257351,+178686,+76.82,+76.82,+76.82,+223556,+152270,--371585,0.10
20241219,-85600,+87900,-85100,-86900,-300,-0.34,1653800,143500,0.10,--40521,--137420,+174676,+117206,+9587,+76.86,+76.86,+76.86,+174676,--137420,--40521,0.10
20241220,-86100,-86800,-85300,-85800,-1100,-1.27,1727765,148336,0.08,--24495,--87766,+91035,--396396,--30977,+76.88,+76.88,+76.88,+91035,--87766,--24495,0.08
20241223,+86300,+87800,+85900,+87000,+1200,+1.40,720602,62565,0.08,--57525,+60070,+2033,+86253,--49364,+76.88,+76.88,+76.88,+2033,+60070,--57525,0.08
20241224,+87300,+87600,-86000,-86500,-500,-0.57,417559,36118,0.08,+29963,+26710,--58016,+59002,--87964,+76.87,+76.87,+76.87,--58016,+26710,+29963,0.08
20241226,+86600,+86700,-84800,-85500,-1000,-1.16,915276,78680,0.08,+56706,+42610,--110729,--40655,--106473,+76.84,+76.84,+76.84,--110729,+42610,+56706,0.08
20241227,-84500,85500,-84300,-85000,-500,-0.58,790972,67084,0.08,--41392,--34011,+77469,+137594,+82267,+76.86,+76.86,+76.86,+77469,--34011,--41392,0.08
20241230,85000,+85700,-82900,-82900,-2100,-2.47,789952,66316,0.08,+151397,+3702,--98938,--113608,--124255,+76.83,+76.83,+76.83,--98938,+3702,+151397,0.08
20250102,82900,+85400,82900,+83400,+500,+0.60,622880,52339,0.08,--34142,--31918,+66158,+31465,+45786,+76.85,+76.85,+76.85,+66158,--31918,--34142,0.08
20250103,+85000,+85700,+83500,+83800,+400,+0.48,846012,71576,0.08,+43169,--76453,--14834,+108293,--36996,+76.84,+76.84,+76.84,--14834,--76453,+43169,0.08
20250106,+85000,+85800,+84000,+85500,+1700,+2.03,638318,54316,0.08,--125842,--38217,+163379,+221698,--15377,+76.89,+76.89,+76.89,+163379,--38217,--125842,0.08
20250107,+85700,+86700,-85100,+85600,+100,+0.12,656321,56181,0.08,+19743,--72455,+55397,+88096,--98585,+76.90,+76.90,+76.90,+55397,--72455,+19743,0.08
20250108,-84900,+86200,-84800,85600,0,0.00,732168,62660,0.07,--38608,+26143,+12905,--34039,--48649,+76.90,+76.90,+76.90,+12905,+26143,--38608,0.07
20250109,-85100,+87300,-85000,+86700,+1100,+1.29,906121,78419,0.07,--131827,+9309,+123955,+108900,+9191,+76.94,+76.94,+76.94,+123955,+9309,--131827,0.07
20250110,-86100,+88400,-86100,+87800,+1100,+1.27,1245510,109130,0.07,--180580,+23694,+155844,+107116,+28734,+76.97,+76.97,+76.97,+155844,+23694,--180580,0.07
20250113,87800,+90500,-87600,+89300,+1500,+1.71,1407611,125037,0.06,--129368,+49514,+79675,+106968,--46498,+77.00,+77.00,+77.00,+79675,+49514,--129368,0.06
20250114,-89000,+89800,-87800,-88800,-500,-0.56,918143,81253,0.06,+59244,--8155,--49284,+169946,--343131,+76.98,+76.98,+76.98,--49284,--8155,+59244,0.06
20250115,-88700,+90700,-88700,+89900,+1100,+1.24,937623,84139,0.06,--150683,+53322,+347280,+135262,--20815,+77.07,+77.07,+77.07,+347280,+53322,--150683,0.06
20250116,+91500,+91700,-89800,+90400,+500,+0.56,791640,71715,0.06,--72049,+50490,--19051,+59663,--131386,+77.07,+77.07,+77.07,--19051,+50490,--72049,0.06
20250117,-89500,90400,-88400,-88600,-1800,-1.99,926849,82484,0.06,+51845,--25883,+1023,--79182,--63277,+77.07,+77.07,+77.07,+1023,--25883,+51845,0.06
20250120,-88300,+89500,-87900,+88800,+200,+0.23,380114,33742,0.06,--51688,+50960,+3490,--46879,+56341,+77.07,+77.07,+77.07,+3490,+50960,--51688,0.06
20250121,+89600,+90100,-88100,+88900,+100,+0.11,478811,42638,0.06,--29798,+50522,--19993,--27827,--3441,+77.06,+77.06,+77.06,--19993,+50522,--29798,0.06
20250122,+89900,+90000,88900,+89400,+500,+0.56,764445,68447,0.06,--109186,+145820,--141492,--136257,+63002,+77.03,+77.03,+77.03,--141492,+145820,--109186,0.06
20250123,+89800,+91000,-88600,-88600,-800,-0.89,771073,69372,0.06,+21153,+61212,--91235,--186739,+12983,+77.01,+77.01,+77.01,--91235,+61212,+21153,0.06
20250124,88600,+89100,-87800,+88900,+300,+0.34,1024781,90618,0.05,+18556,+127555,--215444,--66697,--123128,+76.96,+76.96,+76.96,--215444,+127555,+18556,0.05
20250131,+89700,+91900,+89700,+91700,+2800,+3.15,2113398,192673,0.06,--411374,+81587,+337661,+268722,+345322,+77.04,+77.04,+77.04,+337661,+81587,--411374,0.06
20250203,-91600,+92000,-88100,-88800,-2900,-3.16,970789,86594,0.06,+237912,+14910,--334451,--96084,--357625,+76.96,+76.96,+76.96,--334451,+14910,+237912,0.06
20250204,+90000,+92000,+89700,+91300,+2500,+2.82,1272273,115924,0.05,--244813,+191981,+111543,+123539,--27352,+76.98,+76.98,+76.98,+111543,+191981,--244813,0.05
20250205,+92300,+93300,-90400,-91000,-300,-0.33,898948,82081,0.06,+153450,+101063,--290181,--149212,--223663,+76.90,+76.90,+76.90,--290181,+101063,+153450,0.06
20250206,-87900,-88000,-83100,-84900,-6100,-6.70,3473264,295980,0.05,+1889928,--1022110,--881965,--364369,--755760,+76.68,+76.68,+76.68,--881965,--1022110,+1889928,0.05
20250207,+85900,+86300,84900,+86000,+1100,+1.30,2067392,177183,0.06,--165586,--60355,+226151,+148179,--139171,+76.74,+76.74,+76.74,+226151,--60355,--165586,0.06
20250210,-85900,+86900,-84900,-84900,-1100,-1.28,1409776,120883,0.10,+165772,+69326,--230053,--16667,--495119,+76.68,+76.68,+76.68,--230053,+69326,+165772,0.10
20250211,+85100,+85600,-83800,-84200,-700,-0.82,1278762,108027,0.08,+225309,+168151,--398189,--435140,--161910,+76.58,+76.58,+76.58,--398189,+168151,+225309,0.08
20250212,-83200,+85000,-81900,-82000,-2200,-2.61,1948739,161996,0.09,+647047,+242752,--911274,--1070734,--177467,+76.35,+76.35,+76.35,--911274,+242752,+647047,0.09
20250213,82000,+82100,-79100,-79400,-2600,-3.17,3880882,311102,0.10,+1150081,+402869,--1566251,--1454097,+199994,+75.95,+75.95,+75.95,--1566251,+402869,+1150081,0.10
20250214,-79100,+80200,-78700,+79700,+300,+0.38,2655434,211346,0.13,+153533,+266646,--694908,--821408,+808164,+75.77,+75.77,+75.77,--694908,+266646,+153533,0.13
20250217,-79200,+81100,-77600,+81000,+1300,+1.63,2650482,210773,0.19,--51377,+66815,--30457,--233243,+414173,+75.76,+75.76,+75.76,--30457,+66815,--51377,0.19
20250218,81000,+82300,-80600,+82100,+1100,+1.36,1279204,104680,0.19,--191101,+242986,--49913,+106146,--54299,+75.75,+75.75,+75.75,--49913,+242986,--191101,0.19
20250219,+82400,+82600,-81800,+82200,+100,+0.12,1334119,109796,0.19,--96249,+382970,--322920,--271816,+19285,+75.67,+75.67,+75.67,--322920,+382970,--96249,0.19
20250220,+83000,+83400,-81300,+82700,+500,+0.61,1698239,140114,0.18,--179579,+246115,--19148,+94630,--261509,+75.66,+75.66,+75.66,--19148,+246115,--179579,0.18
20250221,-82600,+83500,-82300,82700,0,0.00,1662225,138086,0.17,--192268,+254627,--60789,+102627,--277271,+75.65,+75.65,+75.65,--60789,+254627,--192268,0.17
20250224,82700,+83300,-81700,-82000,-700,-0.85,1001661,82476,0.16,+29713,+54035,--122842,+71207,--73491,+75.62,+75.62,+75.62,--122842,+54035,+29713,0.16
20250225,-81400,+82200,-81300,-81400,-600,-0.73,798719,65198,0.15,+10134,+79412,--82986,--35493,--77371,+75.60,+75.60,+75.60,--82986,+79412,+10134,0.15
20250226,+82000,+82100,-80700,+81500,+100,+0.12,1264119,102989,0.16,--95296,+297060,--205855,--445022,--141032,+75.54,+75.54,+75.54,--205855,+297060,--95296,0.16
20250227,81500,81500,-79900,-80800,-700,-0.86,1512909,121826,0.16,+76343,+60755,--197015,+30679,--117932,+75.49,+75.49,+75.49,--197015,+60755,+76343,0.16
20250228,-80100,-80700,-78300,-78300,-2500,-3.09,1490037,117436,0.14,+252403,--80486,--180134,--224590,--129882,+75.45,+75.45,+75.45,--180134,--80486,+252403,0.14
20250304,+78500,+79200,-77100,-77900,-400,-0.51,1154886,90225,0.14,+67265,+122074,--180828,--102651,--148904,+75.40,+75.40,+75.40,--180828,+122074,+67265,0.14
20250305,+79200,+79600,-76400,-76600,-1300,-1.67,1562477,120698,0.15,+287668,--177184,--109112,--159854,--123301,+75.37,+75.37,+75.37,--109112,--177184,+287668,0.15
20250306,+77800,+79200,+77500,+78600,+2000,+2.61,1559898,122392,0.14,--122615,+654,+119806,+144034,--129704,+75.40,+75.40,+75.40,+119806,+654,--122615,0.14
20250307,78600,+79200,-77700,-77700,-900,-1.15,1168545,91425,0.15,+33500,--56992,+21294,+178020,--274831,+75.41,+75.41,+75.41,+21294,--56992,+33500,0.15
20250310,-77000,+79000,-76600,+78500,+800,+1.03,961703,75173,0.14,--15301,+95986,--78098,--71102,--137,+75.39,+75.39,+75.39,--78098,+95986,--15301,0.14
20250311,-78000,-78300,-76500,-77400,-1100,-1.40,1259132,97376,0.14,+13626,--136978,+118979,+273780,+111869,+75.42,+75.42,+75.42,+118979,--136978,+13626,0.14
20250312,+77800,+78100,-76400,-76900,-500,-0.65,1425883,109739,0.14,+263838,+37529,--307530,--125941,--80572,+75.34,+75.34,+75.34,--307530,+37529,+263838,0.14
20250313,+77400,+79800,+77300,+78600,+1700,+2.21,2826631,222914,0.14,--374502,--116964,+576613,+369257,+561186,+75.49,+75.49,+75.49,+576613,--116964,--374502,0.14
20250314,-77500,+80000,-77100,-78300,-300,-0.38,1596060,125372,0.14,--33078,+60866,--30549,--210954,--164835,+75.48,+75.48,+75.48,--30549,+60866,--33078,0.14
20250317,+79100,+79900,+78400,+78900,+600,+0.77,804423,63397,0.14,+1120,+141092,--133844,--263512,--233344,+75.45,+75.45,+75.45,--133844,+141092,+1120,0.14
20250318,+79900,+81100,+79800,+80200,+1300,+1.65,1164823,93936,0.14,--360610,+258476,+92310,--39500,--54106,+75.47,+75.47,+75.47,+92310,+258476,--360610,0.14
20250319,+80800,+81700,+80400,+81200,+1000,+1.25,907656,73714,0.14,--134256,+183757,+12660,--63789,--55583,+75.47,+75.47,+75.47,+12660,+183757,--134256,0.14
20250320,+82200,+82700,+81600,+82300,+1100,+1.35,1260292,103815,0.12,--249846,+266457,+291777,--119511,--101002,+75.55,+75.55,+75.55,+291777,+266457,--249846,0.12
20250321,-81100,+83300,-80500,-81300,-1000,-1.22,2609924,213249,0.12,+90862,+234031,--317693,--224266,--17307,+75.47,+75.47,+75.47,--317693,+234031,+90862,0.12
20250324,-81100,+82100,-80700,+81800,+500,+0.62,808002,66093,0.11,--26028,+373234,--345395,--268999,--163636,+75.38,+75.38,+75.38,--345395,+373234,--26028,0.11
20250325,-81000,+82000,-80100,+81900,+100,+0.12,1311376,106818,0.14,--16692,+407315,--376871,--305223,--124740,+75.28,+75.28,+75.28,--376871,+407315,--16692,0.14
