date,open_pric,high_pric,low_pric,close_pric,pred_rt,flu_rt,trde_qty,amt_mn,crd_rt,ind,orgn,for_qty,frgn,prm,for_rt,for_poss,for_wght,for_netprps,orgn_netprps,ind_netprps,crd_remn_rt
20241202,+46100,+47100,-45350,+45900,+400,+0.88,513987,23836,1.45,--37409,+68904,--29331,+21326,--2416,+6.86,+6.86,+6.86,--29331,+68904,--37409,1.45
20241203,45900,+47350,-44600,-44750,-1150,-2.51,383618,17588,1.45,--7929,+861,--7769,+14492,+1202,+6.84,+6.84,+6.84,--7769,+861,--7929,1.45
20241204,-43450,+45750,-42700,+45600,+850,+1.90,369999,16570,1.46,--108183,+15455,+92937,+9622,+61888,+7.11,+7.11,+7.11,+92937,+15455,--108183,1.46
20241205,+46050,+46550,-44600,+46400,+800,+1.75,443224,20269,1.47,--29784,--36632,+67575,+53325,--38595,+7.31,+7.31,+7.31,+67575,--36632,--29784,1.47
20241206,-46050,-46050,-43000,-43300,-3100,-6.68,395168,17516,1.43,+27978,+16297,--151919,+4175,--23779,+6.86,+6.86,+6.86,--151919,+16297,+27978,1.43
20241209,-42850,43300,-39450,-39600,-3700,-8.55,436008,17690,1.42,--55871,+28750,+44461,+1316,+62437,+6.99,+6.99,+6.99,+44461,+28750,--55871,1.42
20241210,+39700,+40500,-38750,+39850,+250,+0.63,411482,16258,1.41,+116790,--17186,--99366,--60348,--56141,+6.70,+6.70,+6.70,--99366,--17186,+116790,1.41
20241211,-39650,+39950,-38600,-39250,-600,-1.51,244327,9560,1.41,+42076,--34647,--10163,+1660,--30019,+6.67,+6.67,+6.67,--10163,--34647,+42076,1.41
20241212,+40000,+41800,+40000,+41600,+2350,+5.99,434553,17855,1.45,--58203,+12884,+19858,+24483,--7960,+6.73,+6.73,+6.73,+19858,+12884,--58203,1.45
20241213,+41650,+42500,-40600,-40900,-700,-1.68,256033,10602,1.48,+29594,--1625,--27535,+4143,--36562,+6.65,+6.65,+6.65,--27535,--1625,+29594,1.48
20241216,+41500,+42250,40900,+41650,+750,+1.83,255822,10621,1.47,--10586,--8262,+20086,+10463,--5744,+6.71,+6.71,+6.71,+20086,--8262,--10586,1.47
20241217,+41850,+42000,-37700,-38200,-3450,-8.28,522653,20506,1.52,+175345,--95928,--73135,--8303,--108375,+6.49,+6.49,+6.49,--73135,--95928,+175345,1.52
20241218,+38250,+39050,-37750,-38050,-150,-0.39,236354,9039,1.57,+27080,--47768,+17077,+3563,+15644,+6.54,+6.54,+6.54,+17077,--47768,+27080,1.57
20241219,-36950,-37100,-36000,-36100,-1950,-5.12,331034,12037,1.63,+69642,--91081,+19714,+5253,+8114,+6.60,+6.60,+6.60,+19714,--91081,+69642,1.63
