date,open_pric,high_pric,low_pric,close_pric,pred_rt,flu_rt,trde_qty,amt_mn,crd_rt,ind,orgn,for_qty,frgn,prm,for_rt,for_poss,for_wght,for_netprps,orgn_netprps,ind_netprps,crd_remn_rt
20241202,+244000,+251000,+241500,+245500,+6000,+2.51,134852,33259,0.07,--40304,+31442,+29083,+4242,+5435,+41.28,+41.28,+41.28,+29083,+31442,--40304,0.07
20241203,+250000,+250000,-240000,-242000,-3500,-1.43,180439,43894,0.08,+7041,--31950,+26418,+29612,+10611,+41.31,+41.31,+41.31,+26418,--31950,+7041,0.08
20241204,-238500,-239500,-234000,-238000,-4000,-1.65,180887,42772,0.07,+616,+10960,--11346,--35821,+2830,+41.30,+41.30,+41.30,--11346,+10960,+616,0.07
20241205,-236000,238000,-232000,-236500,-1500,-0.63,167928,39417,0.08,--3220,--2384,--56882,--5322,--44151,+41.23,+41.23,+41.23,--56882,--2384,--3220,0.08
20241206,+238500,+242000,-235000,+237000,+500,+0.21,161793,38467,0.08,--14200,+29448,--20907,+14989,--45226,+41.21,+41.21,+41.21,--20907,+29448,--14200,0.08
20241209,+239000,+244000,-235500,+243000,+6000,+2.53,280707,67846,0.08,--64355,+50163,+15177,+48853,--6094,+41.22,+41.22,+41.22,+15177,+50163,--64355,0.08
20241210,+246000,+252000,243000,+248500,+5500,+2.26,191480,47456,0.08,--26655,+31165,--4400,+30809,--7115,+41.21,+41.21,+41.21,--4400,+31165,--26655,0.08
20241211,-246500,+250500,-243000,+249500,+1000,+0.40,124618,30925,0.07,--7735,+8073,+2571,+18180,--17814,+41.22,+41.22,+41.22,+2571,+8073,--7735,0.07
20241212,-248500,+250000,-244000,-246500,-3000,-1.20,277092,68198,0.07,+17124,--17934,+1593,+11380,+8873,+41.22,+41.22,+41.22,+1593,--17934,+17124,0.07
20241213,+247500,+249500,-242000,-244000,-2500,-1.01,266223,65094,0.07,+13687,--121827,+103951,+82365,--3310,+41.33,+41.33,+41.33,+103951,--121827,+13687,0.07
20241216,+244500,+245500,-236000,-237500,-6500,-2.66,170497,40606,0.07,+45146,--45869,+677,+20189,--36771,+41.33,+41.33,+41.33,+677,--45869,+45146,0.07
20241217,-237000,+239500,-235500,+239500,+2000,+0.84,175405,41733,0.08,--22383,+16639,+6417,--4559,--16091,+41.33,+41.33,+41.33,+6417,+16639,--22383,0.08
20241218,+241500,+252500,+241500,+252000,+12500,+5.22,191753,47793,0.08,--88280,+26887,+54458,+41117,+34461,+41.38,+41.38,+41.38,+54458,+26887,--88280,0.08
20241219,-248000,+256000,-247500,-250000,-2000,-0.79,251708,63356,0.08,--10851,+35881,--24946,+14470,--6638,+41.36,+41.36,+41.36,--24946,+35881,--10851,0.08
20241220,-247000,250000,-244000,-244000,-6000,-2.40,498832,122239,0.07,+6776,+49583,--28556,--157940,--79116,+41.32,+41.32,+41.32,--28556,+49583,+6776,0.07
20241223,+245500,+245500,-241000,244000,0,0.00,130390,31742,0.08,--7894,+18105,--10906,+7472,--21276,+41.31,+41.31,+41.31,--10906,+18105,--7894,0.08
20241224,244000,+246000,-239500,-243000,-1000,-0.41,131161,31719,0.07,--28918,+3162,+37207,+12036,+8410,+41.35,+41.35,+41.35,+37207,+3162,--28918,0.07
20241226,-242000,+244000,-239500,-242000,-1000,-0.41,94291,22803,0.08,--34305,+21596,+38929,+4222,--126,+41.39,+41.39,+41.39,+38929,+21596,--34305,0.08
