date,open_pric,high_pric,low_pric,close_pric,pred_rt,flu_rt,trde_qty,amt_mn,crd_rt,ind,orgn,for_qty,frgn,prm,for_rt,for_poss,for_wght,for_netprps,orgn_netprps,ind_netprps,crd_remn_rt
20241202,+40550,+42500,+40150,+42150,+2050,+5.11,5583827,233255,0.59,--1050666,+937307,+253271,+376415,+40645,+26.90,+26.90,+26.90,+253271,+937307,--1050666,0.59
20241203,+42450,+43000,-42050,+42950,+800,+1.90,3152958,134468,0.58,--826077,+402944,+432711,+841740,+354813,+26.99,+26.99,+26.99,+432711,+402944,--826077,0.58
20241204,-42200,+47100,-41600,+46600,+3650,+8.50,13795722,628051,0.57,--2221799,+1498995,+679052,+776472,+765924,+27.15,+27.15,+27.15,+679052,+1498995,--2221799,0.57
20241205,-45700,-46150,-43600,-44100,-2500,-5.36,5207632,231253,0.54,--192344,+13409,+150749,+217349,+161508,+27.17,+27.17,+27.17,+150749,+13409,--192344,0.54
20241206,+44400,+45650,-42850,+44500,+400,+0.91,6696783,297404,0.57,--322818,+671415,--361539,--111446,--321717,+27.09,+27.09,+27.09,--361539,+671415,--322818,0.57
20241209,-43050,+45100,-42050,-42300,-2200,-4.94,4184554,181085,0.58,--571805,+310911,+332687,+183929,+399561,+27.17,+27.17,+27.17,+332687,+310911,--571805,0.58
20241210,+43000,+44000,+42950,+43850,+1550,+3.66,2629946,114467,0.56,--4026,+124655,--84544,+28905,--50632,+27.14,+27.14,+27.14,--84544,+124655,--4026,0.56
20241211,+44250,+45300,+43900,+44600,+750,+1.71,2218036,98585,0.55,+9073,+173299,--153839,+24469,--118870,+27.11,+27.11,+27.11,--153839,+173299,+9073,0.55
20241212,+45000,+45250,-42500,-43700,-900,-2.02,3811891,167660,0.57,+90000,--153246,+64887,--49936,+296675,+27.12,+27.12,+27.12,+64887,--153246,+90000,0.57
20241213,43700,+46450,-43400,+45900,+2200,+5.03,4615083,210267,0.57,--479192,+364888,+89134,--79889,+205920,+27.14,+27.14,+27.14,+89134,+364888,--479192,0.57
20241216,+47000,+47050,-43550,-43950,-1950,-4.25,4206177,188757,0.57,+1206510,--615291,--603891,--295121,--576780,+27.00,+27.00,+27.00,--603891,--615291,+1206510,0.57
