date,open_pric,high_pric,low_pric,close_pric,pred_rt,flu_rt,trde_qty,amt_mn,crd_rt,ind,orgn,for_qty,frgn,prm,for_rt,for_poss,for_wght,for_netprps,orgn_netprps,ind_netprps,crd_remn_rt
20241202,+93900,+95800,+93500,+94200,+1300,+1.40,856300,80880,0.20,--214079,+141426,+148626,+23352,+91302,+39.52,+39.52,+39.52,+148626,+141426,--214079,0.20
20241203,+95900,+98000,+95000,+98000,+3800,+4.03,1269834,122373,0.20,--285295,+105739,+182420,+171237,+137010,+39.57,+39.57,+39.57,+182420,+105739,--285295,0.20
20241204,-96700,+99700,-96300,+98100,+100,+0.10,1718985,167765,0.20,--136850,+266547,--55670,+55443,--240048,+39.55,+39.55,+39.55,--55670,+266547,--136850,0.20
20241205,-97200,+98400,-93800,-94000,-4100,-4.18,1047065,99970,0.19,+244600,+86406,--379971,--281166,--403655,+39.45,+39.45,+39.45,--379971,+86406,+244600,0.19
20241206,+94100,+96200,-93200,+94800,+800,+0.85,974415,92161,0.19,--61680,+185998,--153840,--117468,--80319,+39.41,+39.41,+39.41,--153840,+185998,--61680,0.19
20241209,-93200,-94400,-92000,-92000,-2800,-2.95,1163885,107996,0.18,+38227,+197302,--237412,--238934,--209754,+39.35,+39.35,+39.35,--237412,+197302,+38227,0.18
20241210,+93000,+96000,+93000,+95800,+3800,+4.13,1426079,135532,0.18,--168400,+170602,--5310,+48255,+8664,+39.34,+39.34,+39.34,--5310,+170602,--168400,0.18
20241211,+96500,+97500,-95400,+96500,+700,+0.73,891106,86135,0.17,--60269,+44349,+18633,--147035,--87666,+39.35,+39.35,+39.35,+18633,+44349,--60269,0.17
20241212,+96800,+98900,+96800,+97200,+700,+0.73,1672208,163169,0.17,--69874,--181960,+233701,+193742,--119989,+39.41,+39.41,+39.41,+233701,--181960,--69874,0.17
20241213,+97500,+98600,-96100,+98100,+900,+0.93,784619,76531,0.17,--83698,+119016,--43859,--92051,--24107,+39.39,+39.39,+39.39,--43859,+119016,--83698,0.17
