date,open_pric,high_pric,low_pric,close_pric,pred_rt,flu_rt,trde_qty,amt_mn,crd_rt,ind,orgn,for_qty,frgn,prm,for_rt,for_poss,for_wght,for_netprps,orgn_netprps,ind_netprps,crd_remn_rt
20241202,+53900,+54400,53000,+53900,+900,+1.70,1217342,65627,0.08,--258041,+420155,--161229,--264506,--10653,+60.98,+60.98,+60.98,--161229,+420155,--258041,0.08
20241203,+54700,+56600,+54600,+56400,+2500,+4.64,1655612,92587,0.07,--813365,+247497,+566711,+473425,+319594,+61.09,+61.09,+61.09,+566711,+247497,--813365,0.07
20241204,-55300,-55500,-51900,-52700,-3700,-6.56,2898181,154185,0.07,+1205687,--45538,--1230696,--603626,--770552,+60.85,+60.85,+60.85,--1230696,--45538,+1205687,0.07
20241205,-52000,-52200,-49600,-49800,-2900,-5.50,2698547,135458,0.04,+593016,--174797,--607831,--935561,--651200,+60.71,+60.71,+60.71,--607831,--174797,+593016,0.04
20241206,+50800,+52300,+50200,+51300,+1500,+3.01,2179168,111487,0.06,--357646,+512636,--542484,--100992,--212679,+60.61,+60.61,+60.61,--542484,+512636,--357646,0.06
20241209,-50000,+51500,-50000,-50700,-600,-1.17,1971765,99986,0.08,--355431,+626971,--274524,--227134,--609727,+60.55,+60.55,+60.55,--274524,+626971,--355431,0.08
20241210,-50200,50700,-49800,-49950,-750,-1.48,1891657,94813,0.06,+470574,+330537,--806604,--773931,--642227,+60.38,+60.38,+60.38,--806604,+330537,+470574,0.06
20241211,+50700,+51000,+50000,+50400,+450,+0.90,1332116,67173,0.05,+115623,+59943,--165701,--132093,--213708,+60.36,+60.36,+60.36,--165701,+59943,+115623,0.05
20241212,+50500,+51200,-50100,+50600,+200,+0.40,2480548,125382,0.06,+163435,--83859,--70817,--102273,--17163,+60.34,+60.34,+60.34,--70817,--83859,+163435,0.06
20241213,-50400,+50700,-49300,-49500,-1100,-2.17,2268368,113016,0.07,+601530,--410547,--205774,--308395,--484164,+60.29,+60.29,+60.29,--205774,--410547,+601530,0.07
20241216,+49950,+50400,-49250,49500,0,0.00,1544004,76665,0.06,+111561,--20353,--94170,--81935,--115898,+60.27,+60.27,+60.27,--94170,--20353,+111561,0.06
20241217,-49400,+49650,-48500,-48650,-850,-1.72,1626674,79609,0.08,+190816,+46689,--246102,--153477,--251434,+60.22,+60.22,+60.22,--246102,+46689,+190816,0.08
20241218,+48850,+50300,+48850,+50000,+1350,+2.77,1283410,63939,0.07,--279288,+228498,+72617,--3766,+162241,+60.23,+60.23,+60.23,+72617,+228498,--279288,0.07
20241219,-48700,-49250,-48300,-48850,-1150,-2.30,1448266,70753,0.08,+222646,--258070,+21073,+63584,--35441,+60.23,+60.23,+60.23,+21073,--258070,+222646,0.08
20241220,-48550,48850,-47800,-48250,-600,-1.23,1330773,64097,0.07,+195319,--48877,--377436,--115968,--185177,+60.15,+60.15,+60.15,--377436,--48877,+195319,0.07
20241223,+48350,+49450,+48300,+49300,+1050,+2.18,829898,40698,0.07,--157495,+126383,+37136,+858,+53899,+60.16,+60.16,+60.16,+37136,+126383,--157495,0.07
20241224,-49200,+49400,-48750,+49400,+100,+0.20,594327,29191,0.07,--24090,--45995,+102361,+24107,--5570,+60.18,+60.18,+60.18,+102361,--45995,--24090,0.07
20241226,+49500,+49500,-48500,-48900,-500,-1.01,1011341,49609,0.07,--101222,+49620,--21225,+21225,+17013,+60.18,+60.18,+60.18,--21225,+49620,--101222,0.07
20241227,-48450,48900,-48000,-48350,-550,-1.12,898979,43515,0.07,+19734,--113520,+80964,+152207,+52815,+60.19,+60.19,+60.19,+80964,--113520,+19734,0.07
20241230,+48850,+49350,-47650,-47650,-700,-1.45,843682,40784,0.06,+102999,--75177,+59631,--6101,--18496,+60.20,+60.20,+60.20,+59631,--75177,+102999,0.06
20250102,-47550,+48550,-47550,+47750,+100,+0.21,594123,28512,0.06,+2633,--96433,+94871,+3640,+47674,+60.22,+60.22,+60.22,+94871,--96433,+2633,0.06
20250103,+47850,+49100,+47850,+48200,+450,+0.94,1054730,51337,0.06,--67001,+165064,--101019,--46271,--125010,+60.20,+60.20,+60.20,--101019,+165064,--67001,0.06
20250106,+48250,+48950,-48000,+48950,+750,+1.56,983822,47808,0.06,+129428,+129427,--429573,--190511,--300010,+60.12,+60.12,+60.12,--429573,+129427,+129428,0.06
20250107,48950,+49850,-48800,48950,0,0.00,1204267,59317,0.06,--126323,+167047,--48237,--199151,--94456,+60.11,+60.11,+60.11,--48237,+167047,--126323,0.06
20250108,-48500,+49700,-48500,+49150,+200,+0.41,821327,40441,0.10,--47334,+273320,--214481,--92210,--222392,+60.07,+60.07,+60.07,--214481,+273320,--47334,0.10
20250109,-48850,+50000,-48800,+49500,+350,+0.71,1083039,53730,0.09,--83089,--9067,+119067,+122772,--55373,+60.09,+60.09,+60.09,+119067,--9067,--83089,0.09
20250110,-49200,+50300,-49100,+49850,+350,+0.71,995783,49551,0.10,--85393,+186219,--139779,--50876,--87440,+60.06,+60.06,+60.06,--139779,+186219,--85393,0.10
20250113,-49200,+50300,-49200,+50000,+150,+0.30,969835,48312,0.10,+3751,+261811,--262299,--182922,--245106,+60.01,+60.01,+60.01,--262299,+261811,+3751,0.10
20250114,+50200,+50300,-49200,-49500,-500,-1.00,800945,39662,0.10,+83124,+35458,--118929,--77696,--193205,+59.99,+59.99,+59.99,--118929,+35458,+83124,0.10
