date,open_pric,high_pric,low_pric,close_pric,pred_rt,flu_rt,trde_qty,amt_mn,crd_rt,ind,orgn,for_qty,frgn,prm,for_rt,for_poss,for_wght,for_netprps,orgn_netprps,ind_netprps,crd_remn_rt
20241202,+181300,+181400,-172500,-174000,-5500,-3.06,45380,8014,0.42,+6138,--10129,+5108,+7438,--18237,+33.75,+33.75,+33.75,+5108,--10129,+6138,0.42
20241203,-172900,+174900,-171100,-172400,-1600,-0.92,32395,5603,0.41,+13165,--5003,--8116,+4816,--1826,+33.64,+33.64,+33.64,--8116,--5003,+13165,0.41
20241204,-169400,-170100,-166400,-168500,-3900,-2.26,31953,5369,0.42,--593,--5875,+6473,+5628,+6831,+33.73,+33.73,+33.73,+6473,--5875,--593,0.42
20241205,-167000,+170900,-165800,-168200,-300,-0.18,22733,3839,0.44,+996,--3802,+2942,+3185,--183,+33.76,+33.76,+33.76,+2942,--3802,+996,0.44
20241206,168200,+169600,-164800,-168100,-100,-0.06,24539,4094,0.43,--2155,--952,+3145,--879,+1204,+33.80,+33.80,+33.80,+3145,--952,--2155,0.43
20241209,-166900,-166900,-159600,-159600,-8500,-5.06,28780,4632,0.45,--3272,--919,+4179,--636,+4629,+33.86,+33.86,+33.86,+4179,--919,--3272,0.45
20241210,+162500,+168500,+161600,+167900,+8300,+5.20,20799,3440,0.43,--4337,+776,+3595,+1796,--199,+33.90,+33.90,+33.90,+3595,+776,--4337,0.43
20241211,-167300,+174800,-166000,+171800,+3900,+2.32,25448,4398,0.41,--5468,--671,+12087,+2402,--3812,+34.06,+34.06,+34.06,+12087,--671,--5468,0.41
20241212,+174500,+180400,+172600,+177400,+5600,+3.26,35186,6215,0.39,--4175,--4071,--3010,+4740,--400,+34.02,+34.02,+34.02,--3010,--4071,--4175,0.39
20241213,+179100,+181100,-176900,+177900,+500,+0.28,20431,3661,0.39,+3231,--7000,+3757,+1274,--4052,+34.07,+34.07,+34.07,+3757,--7000,+3231,0.39
20241216,177900,+185500,177900,+179700,+1800,+1.01,24175,4398,0.37,--2653,--5772,+8579,--2076,--5913,+34.18,+34.18,+34.18,+8579,--5772,--2653,0.37
20241217,+181000,+181100,-170800,-172800,-6900,-3.84,24279,4230,0.40,+6739,--3590,--2991,+3416,+3755,+34.14,+34.14,+34.14,--2991,--3590,+6739,0.40
20241218,+174200,+174200,-169000,-172400,-400,-0.23,33712,5741,0.39,+6330,--14622,+8306,+11759,+15869,+34.25,+34.25,+34.25,+8306,--14622,+6330,0.39
20241219,-169000,-171300,-166700,-167300,-5100,-2.96,18784,3158,0.40,+4254,--2142,--3632,+3171,+3025,+34.20,+34.20,+34.20,--3632,--2142,+4254,0.40
20241220,-167000,+168300,-165200,-165600,-1700,-1.02,15002,2493,0.43,--866,--1305,+2291,+3303,+2754,+34.23,+34.23,+34.23,+2291,--1305,--866,0.43
20241223,+168400,+169500,+166500,+169200,+3600,+2.17,13833,2328,0.43,--10,+400,--663,+2304,+3207,+34.22,+34.22,+34.22,--663,+400,--10,0.43
20241224,-168100,+169800,-166900,+169700,+500,+0.30,11674,1967,0.38,--262,+1544,--12878,+1698,--371,+34.06,+34.06,+34.06,--12878,+1544,--262,0.38
20241226,-168300,-169200,-163200,-163400,-6300,-3.71,16879,2781,0.40,+8713,--2326,--13848,--1047,--5184,+33.88,+33.88,+33.88,--13848,--2326,+8713,0.40
20241227,+163600,+166300,-161200,+164200,+800,+0.49,15816,2581,0.39,--524,--5652,+6258,+2195,+4465,+33.96,+33.96,+33.96,+6258,--5652,--524,0.39
20241230,164200,+168000,-161500,+165400,+1200,+0.73,14345,2358,0.42,+304,+223,+25,--1605,--595,+33.96,+33.96,+33.96,+25,+223,+304,0.42
20250102,-162100,-164500,-160100,-163000,-2400,-1.45,14306,2318,0.40,+3221,+1525,+11014,--5147,+1517,+34.10,+34.10,+34.10,+11014,+1525,+3221,0.40
20250103,-162300,+172200,-162300,+170500,+7500,+4.60,20315,3447,0.41,--5028,+2075,+2930,+891,+5201,+34.14,+34.14,+34.14,+2930,+2075,--5028,0.41
20250106,+171000,+181500,-170200,+179300,+8800,+5.16,30911,5521,0.41,--4928,+10994,--5368,--2712,--7614,+34.07,+34.07,+34.07,--5368,+10994,--4928,0.41
