date,open_pric,high_pric,low_pric,close_pric,pred_rt,flu_rt,trde_qty,amt_mn,crd_rt,ind,orgn,for_qty,frgn,prm,for_rt,for_poss,for_wght,for_netprps,orgn_netprps,ind_netprps,crd_remn_rt
20241202,+32960,+33010,-32575,+32700,+60,+0.18,7351735,240967,0.26,--50792,+125489,--13423,0,0,+30.18,+30.18,+30.18,--13423,+125489,--50792,0.26
20241203,+32865,+33260,+32865,+33180,+480,+1.47,5701518,189000,0.28,--134155,+142601,+3970,0,0,+30.08,+30.08,+30.08,+3970,+142601,--134155,0.28
20241204,-32595,-32970,-32475,-32730,-450,-1.36,11354766,371195,0.26,+814698,--912027,+739436,--123931,0,+30.46,+30.46,+30.46,+739436,--912027,+814698,0.26
20241205,+32755,+32800,-32375,-32500,-230,-0.70,8795714,286414,0.23,+72948,+37950,+94924,0,0,+30.47,+30.47,+30.47,+94924,+37950,+72948,0.23
20241206,+32585,+32730,-31840,-32335,-165,-0.51,12257749,396104,0.27,+64375,--99872,+34730,0,0,+30.64,+30.64,+30.64,+34730,--99872,+64375,0.27
20241209,-31880,-32015,-31500,-31530,-805,-2.49,10662486,337947,0.28,+643117,--683273,+7476,0,0,+30.62,+30.62,+30.62,+7476,--683273,+643117,0.28
20241210,+31840,+32245,+31825,+32170,+640,+2.03,5652081,181345,0.29,+169448,--132343,--39083,+5679,0,+30.94,+30.94,+30.94,--39083,--132343,+169448,0.29
20241211,-32025,+32525,-32010,+32505,+335,+1.04,4672310,151164,0.34,+38403,--90270,+2185,+13000,0,+30.78,+30.78,+30.78,+2185,--90270,+38403,0.34
20241212,+32710,+33070,+32590,+32970,+465,+1.43,6775672,222290,0.26,--47875,--27154,+117971,0,0,+30.59,+30.59,+30.59,+117971,--27154,--47875,0.26
20241213,-32890,+33255,-32810,+33120,+150,+0.45,7191550,237892,0.26,+44334,+83843,--128000,0,0,+30.52,+30.52,+30.52,--128000,+83843,+44334,0.26
20241216,+33345,+33440,-32935,-33000,-120,-0.36,4979861,164986,0.24,--142324,+138423,--45822,0,0,+30.49,+30.49,+30.49,--45822,+138423,--142324,0.24
20241217,-32955,-32975,-32570,-32620,-380,-1.15,5459570,178531,0.22,--55270,--52675,--324626,--29157,0,+30.04,+30.04,+30.04,--324626,--52675,--55270,0.22
20241218,+32700,+33180,+32700,+33080,+460,+1.41,4437805,146593,0.23,--172740,+187165,--43650,0,0,+30.01,+30.01,+30.01,--43650,+187165,--172740,0.23
20241219,-32255,-32495,-32175,-32330,-750,-2.27,5702060,184533,0.25,+436783,--482828,+1448994,0,0,+30.89,+30.89,+30.89,+1448994,--482828,+436783,0.25
20241220,-32195,-32195,-31625,-31865,-465,-1.44,9703770,309160,0.22,+546495,--954683,+2519478,--292282,0,+32.09,+32.09,+32.09,+2519478,--954683,+546495,0.22
20241223,+32140,+32510,+32025,+32400,+535,+1.68,6926535,224039,0.26,--9603,+5231,+1466869,--158126,0,+33.24,+33.24,+33.24,+1466869,+5231,--9603,0.26
20241224,+32545,+32580,-32290,+32425,+25,+0.08,5201448,168631,0.28,--71602,--16461,+1567945,--312855,0,+33.91,+33.91,+33.91,+1567945,--16461,--71602,0.28
20241226,+32540,+32540,-32210,-32235,-190,-0.59,3206208,103678,0.24,+36363,--52446,+2895769,--229017,0,+35.78,+35.78,+35.78,+2895769,--52446,+36363,0.24
20241227,-32180,+32320,-31875,-32145,-90,-0.28,4849717,155632,0.22,+11256,--13335,+912272,0,0,+36.53,+36.53,+36.53,+912272,--13335,+11256,0.22
20241230,-32030,+32450,-31945,-32060,-85,-0.26,4162622,134199,0.24,--370954,+248183,+946072,0,0,+36.94,+36.94,+36.94,+946072,+248183,--370954,0.24
20250102,-31930,+32095,-31740,-31990,-70,-0.22,5735290,183046,0.25,+252754,--162730,--1402492,0,0,+36.94,+36.94,+36.94,--1402492,--162730,+252754,0.25
20250103,-31980,+32855,-31970,+32630,+640,+2.00,8939357,291406,0.22,--293763,+219267,--5147731,0,0,+34.01,+34.01,+34.01,--5147731,+219267,--293763,0.22
20250106,+32730,+33410,+32680,+33330,+700,+2.15,7620755,252885,0.23,--370910,+446114,--1519656,+15000,0,+32.82,+32.82,+32.82,--1519656,+446114,--370910,0.23
20250107,+33645,+33860,33330,+33340,+10,+0.03,7687264,257551,0.20,--332153,+227166,--927582,--9060,0,+31.78,+31.78,+31.78,--927582,+227166,--332153,0.20
20250108,-33060,+33840,-33060,+33660,+320,+0.96,8151095,274001,0.18,--345128,+372415,+212905,--69,0,+32.05,+32.05,+32.05,+212905,+372415,--345128,0.18
20250109,-33645,+33980,-33605,+33685,+25,+0.07,8978910,303170,0.19,--103058,+288647,--956045,0,0,+30.73,+30.73,+30.73,--956045,+288647,--103058,0.19
20250110,-33665,+33870,-33480,-33635,-50,-0.15,10497619,353651,0.18,+3412,--92667,--1863391,--731265,0,+29.77,+29.77,+29.77,--1863391,--92667,+3412,0.18
20250113,-33450,-33550,-33105,-33190,-445,-1.32,8008114,266579,0.17,+190237,--157974,--281326,--344737,0,+29.73,+29.73,+29.73,--281326,--157974,+190237,0.17
20250114,+33385,+33410,-33075,+33335,+145,+0.44,5880779,195731,0.20,--15331,+85767,+365562,--178422,0,+30.47,+30.47,+30.47,+365562,+85767,--15331,0.20
20250115,+33465,+33715,-33215,-33285,-50,-0.15,7096912,236973,0.23,+124668,--126644,--499654,--97582,0,+30.48,+30.48,+30.48,--499654,--126644,+124668,0.23
20250116,+33740,+33890,+33645,+33760,+475,+1.43,6733592,227442,0.22,--226592,+119255,--1647853,--166699,0,+29.65,+29.65,+29.65,--1647853,+119255,--226592,0.22
20250117,-33625,+33785,-33510,-33690,-70,-0.21,5405536,182035,0.22,+54567,--113446,--271063,--14961,0,+29.60,+29.60,+29.60,--271063,--113446,+54567,0.22
20250120,+33855,+33870,-33560,-33635,-55,-0.16,5681869,191312,0.18,+82359,+104487,--212563,--179471,0,+29.75,+29.75,+29.75,--212563,+104487,+82359,0.18
20250121,+33840,+34100,-33475,+33665,+30,+0.09,7125158,240254,0.19,--129146,--177655,--254853,--241963,0,+29.67,+29.67,+29.67,--254853,--177655,--129146,0.19
20250122,+33905,+34155,+33735,+34050,+385,+1.14,5013881,170329,0.21,--363048,+130644,+86028,--1,0,+29.85,+29.85,+29.85,+86028,+130644,--363048,0.21
20250123,-34005,-34015,-33635,-33685,-365,-1.07,3950876,133387,0.18,+249098,--631666,+48150,0,0,+29.60,+29.60,+29.60,+48150,--631666,+249098,0.18
20250124,+33740,+33920,+33605,+33775,+200,+0.60,7810490,263793,0.14,--5096,--278299,+185260,+5650,0,+29.76,+29.76,+29.76,+185260,--278299,--5096,0.14
20250131,-33405,-33495,-33155,-33445,-330,-0.98,7775839,259472,0.19,+257758,--544764,+135975,--5650,0,+29.84,+29.84,+29.84,+135975,--544764,+257758,0.19
20250203,-32730,-32730,-32280,-32530,-915,-2.74,15606931,506793,0.17,+831155,--1044762,+79643,--173755,0,+29.89,+29.89,+29.89,+79643,--1044762,+831155,0.17
20250204,+32930,+33400,+32800,+32935,+405,+1.25,12055358,398173,0.16,--564519,+1755431,--1391891,--1412343,0,+28.94,+28.94,+28.94,--1391891,+1755431,--564519,0.16
20250205,+33290,+33485,+33210,+33325,+390,+1.18,6499482,216867,0.20,--191298,+187999,--119044,--132796,0,+30.31,+30.31,+30.31,--119044,+187999,--191298,0.20
20250206,+33540,+33670,+33395,+33660,+335,+1.01,5068191,170471,0.17,--145852,+447999,--447846,--507412,0,+29.54,+29.54,+29.54,--447846,+447999,--145852,0.17
20250207,+33680,+33710,-33405,-33440,-220,-0.65,7857348,263439,0.15,+67302,+114885,--475263,--294434,0,+29.54,+29.54,+29.54,--475263,+114885,+67302,0.15
20250210,-33265,+33590,-33115,+33510,+70,+0.21,6491519,217261,0.14,--60542,--223947,+180044,--133405,0,+29.38,+29.38,+29.38,+180044,--223947,--60542,0.14
20250211,+33685,+33935,+33580,+33775,+265,+0.79,7792158,263194,0.14,--59568,--143917,+54538,--335287,0,+29.16,+29.16,+29.16,+54538,--143917,--59568,0.14
20250212,-33720,+33860,-33535,+33820,+45,+0.13,7996959,270289,0.14,--91442,+681297,--817088,--872890,0,+29.25,+29.25,+29.25,--817088,+681297,--91442,0.14
20250213,+33935,+34195,+33905,+34195,+375,+1.11,6598772,225217,0.14,--241571,+999013,+193327,--335314,0,+30.40,+30.40,+30.40,+193327,+999013,--241571,0.14
20250214,+34250,+34525,+34210,+34365,+170,+0.50,7663353,263587,0.14,--219983,+59491,+168176,+45500,0,+30.33,+30.33,+30.33,+168176,+59491,--219983,0.14
20250217,+34480,+34660,+34410,+34615,+250,+0.73,5249340,181639,0.12,--275995,+320657,--43713,+240900,0,+29.97,+29.97,+29.97,--43713,+320657,--275995,0.12
20250218,+34650,+34930,-34560,+34870,+255,+0.74,4974895,173181,0.11,--231125,+177153,+52196,+98316,0,+30.48,+30.48,+30.48,+52196,+177153,--231125,0.11
20250219,+35000,+35730,+35000,+35580,+710,+2.04,6247515,222075,0.11,--696369,+635552,+93253,+89200,0,+30.53,+30.53,+30.53,+93253,+635552,--696369,0.11
