date,open_pric,high_pric,low_pric,close_pric,pred_rt,flu_rt,trde_qty,amt_mn,crd_rt,ind,orgn,for_qty,frgn,prm,for_rt,for_poss,for_wght,for_netprps,orgn_netprps,ind_netprps,crd_remn_rt
20241202,+265500,+266000,-261000,263500,0,0.00,34442,9092,0.29,+77,+11070,--11384,--6265,--3701,+23.78,+23.78,+23.78,--11384,+11070,+77,0.29
20241203,+266000,+273500,263500,+271500,+8000,+3.04,37814,10241,0.30,--5843,+10959,--7912,+478,--1178,+23.73,+23.73,+23.73,--7912,+10959,--5843,0.30
20241204,-269000,+276000,-265500,+273500,+2000,+0.74,60359,16418,0.30,--11535,+18926,--7375,+755,--153,+23.68,+23.68,+23.68,--7375,+18926,--11535,0.30
20241205,-271000,-272000,-263000,-265000,-8500,-3.11,48512,12894,0.30,+15567,--868,--14855,+1489,--12469,+23.58,+23.58,+23.58,--14855,--868,+15567,0.30
20241206,265000,265000,-257500,-262000,-3000,-1.13,49154,12861,0.28,--5972,+16498,--11196,+1065,+4356,+23.50,+23.50,+23.50,--11196,+16498,--5972,0.28
20241209,-258500,-259000,-250500,-250500,-11500,-4.39,49278,12481,0.28,+11513,+8411,--19805,--2101,--16477,+23.37,+23.37,+23.37,--19805,+8411,+11513,0.28
20241210,+251500,+266000,+251500,+265000,+14500,+5.79,45726,11944,0.27,--12927,+12457,+1797,+7967,--1668,+23.38,+23.38,+23.38,+1797,+12457,--12927,0.27
20241211,-264500,+272000,-263000,265000,0,0.00,37046,9884,0.27,+694,+2231,--2964,+27,--4021,+23.36,+23.36,+23.36,--2964,+2231,+694,0.27
20241212,+267500,+271000,-263500,+268000,+3000,+1.13,64834,17338,0.24,--2815,+2474,+68,+7081,+29,+23.36,+23.36,+23.36,+68,+2474,--2815,0.24
20241213,-267000,+275000,-265000,+269000,+1000,+0.37,31634,8497,0.25,+4831,+1142,--7663,--1180,--1633,+23.30,+23.30,+23.30,--7663,+1142,+4831,0.25
20241216,+270500,+271000,-266500,+270000,+1000,+0.37,32955,8847,0.25,+4155,+3292,--7440,--1982,--7386,+23.25,+23.25,+23.25,--7440,+3292,+4155,0.25
20241217,+271000,+271000,-266500,-266500,-3500,-1.30,35701,9576,0.25,+5933,+5321,--12062,--13955,--11221,+23.17,+23.17,+23.17,--12062,+5321,+5933,0.25
20241218,+268500,+277500,+267500,+272000,+5500,+2.06,38363,10512,0.25,--11386,+2315,+6096,+4414,+7121,+23.21,+23.21,+23.21,+6096,+2315,--11386,0.25
20241219,-266500,+274500,-262500,-268000,-4000,-1.47,65652,17749,0.25,+2579,+6389,--9563,+5033,--6285,+23.15,+23.15,+23.15,--9563,+6389,+2579,0.25
20241220,-267000,+269000,-255500,-260500,-7500,-2.80,77632,20208,0.24,+22132,+1518,--16821,--4957,--22458,+23.03,+23.03,+23.03,--16821,+1518,+22132,0.24
20241223,+261000,+266000,-260000,+265000,+4500,+1.73,31482,8303,0.25,--4755,+7009,--2692,+1996,+40,+23.01,+23.01,+23.01,--2692,+7009,--4755,0.25
20241224,265000,+266000,-262000,-264500,-500,-0.19,22151,5859,0.28,--226,+2700,--2478,+325,--2176,+23.00,+23.00,+23.00,--2478,+2700,--226,0.28
20241226,+265000,+266000,-259000,-261000,-3500,-1.32,24245,6333,0.26,+9603,+423,--10027,--3621,--9932,+22.93,+22.93,+22.93,--10027,+423,+9603,0.26
20241227,-258500,-260000,-251500,-255500,-5500,-2.11,28862,7378,0.26,+4168,--1143,--1372,--488,+64,+22.92,+22.92,+22.92,--1372,--1143,+4168,0.26
20241230,-255000,+258500,-253000,255500,0,0.00,29285,7482,0.26,+1355,+5881,--6896,--318,--4560,+22.87,+22.87,+22.87,--6896,+5881,+1355,0.26
20250102,255500,255500,-247000,-247500,-8000,-3.13,46996,11730,0.24,+22229,--4836,--16899,--8849,--15669,+22.76,+22.76,+22.76,--16899,--4836,+22229,0.24
20250103,+251500,+255000,+250000,+251500,+4000,+1.62,30799,7780,0.24,+1900,--2747,+1592,+23,+649,+22.77,+22.77,+22.77,+1592,--2747,+1900,0.24
20250106,+252000,+254500,-250000,+252500,+1000,+0.40,28859,7285,0.25,+6499,--6559,+173,+24,--1451,+22.77,+22.77,+22.77,+173,--6559,+6499,0.25
20250107,252500,+255500,-248000,-248000,-4500,-1.78,65535,16386,0.26,+39088,--18323,--21059,--6055,--17490,+22.63,+22.63,+22.63,--21059,--18323,+39088,0.26
20250108,-247000,+254000,-247000,+251000,+3000,+1.21,44188,11117,0.27,--7239,+3401,+3871,+2523,+5878,+22.66,+22.66,+22.66,+3871,+3401,--7239,0.27
20250109,251000,+253000,-250000,-250500,-500,-0.20,46242,11621,0.30,+13070,--13324,+62,+4091,+724,+22.66,+22.66,+22.66,+62,--13324,+13070,0.30
20250110,250500,+251500,-245000,-247000,-3500,-1.40,59289,14633,0.30,+28075,--16578,--10499,--6032,--13262,+22.59,+22.59,+22.59,--10499,--16578,+28075,0.30
20250113,-246500,+248000,-240500,-241500,-5500,-2.23,69642,16885,0.30,+35333,--26075,--9773,--12501,--11168,+22.53,+22.53,+22.53,--9773,--26075,+35333,0.30
20250114,+242000,+243500,-239500,+242000,+500,+0.21,41598,10022,0.33,+15056,--19744,+2611,+4464,--1359,+22.54,+22.54,+22.54,+2611,--19744,+15056,0.33
20250115,+242500,+244000,-239000,-240000,-2000,-0.83,52582,12653,0.35,+23258,--20554,--2919,--1704,--1638,+22.52,+22.52,+22.52,--2919,--20554,+23258,0.35
20250116,+241500,+242500,-239500,+241000,+1000,+0.42,49025,11799,0.35,+12816,--21469,+8296,+1533,+6438,+22.58,+22.58,+22.58,+8296,--21469,+12816,0.35
20250117,241000,+245000,241000,+242500,+1500,+0.62,38826,9432,0.37,--1393,--9088,+10437,+2573,+8894,+22.65,+22.65,+22.65,+10437,--9088,--1393,0.37
20250120,+243000,+246500,-241500,+244000,+1500,+0.62,26357,6434,0.37,+929,--4982,+4110,+1196,+2984,+22.67,+22.67,+22.67,+4110,--4982,+929,0.37
20250121,+246500,+247000,-240000,-242000,-2000,-0.82,40946,9916,0.41,+13046,--14486,+1272,+4495,+1715,+22.68,+22.68,+22.68,+1272,--14486,+13046,0.41
20250122,+243500,+244000,-240500,-241500,-500,-0.21,41212,9948,0.41,+12355,--17001,+4440,+5173,+4131,+22.71,+22.71,+22.71,+4440,--17001,+12355,0.41
20250123,241500,+242000,-232500,-234500,-7000,-2.90,104843,24712,0.41,+55911,--25604,--30603,--13215,--22687,+22.51,+22.51,+22.51,--30603,--25604,+55911,0.41
20250124,+235500,+236500,-232500,+236000,+1500,+0.64,39245,9201,0.41,+3567,--17675,+13579,+6942,+11797,+22.60,+22.60,+22.60,+13579,--17675,+3567,0.41
20250131,+238000,+242000,-234500,+242000,+6000,+2.54,54228,12958,0.48,--21206,+1998,+19219,+11707,+15937,+22.73,+22.73,+22.73,+19219,+1998,--21206,0.48
20250203,-239500,-239500,-232500,-232500,-9500,-3.93,47457,11102,0.48,+28713,--13796,--15158,--8902,--11293,+22.63,+22.63,+22.63,--15158,--13796,+28713,0.48
20250204,+235000,+242000,+234000,+242000,+9500,+4.09,46379,11047,0.41,--8058,--5087,+12403,+8906,+7112,+22.71,+22.71,+22.71,+12403,--5087,--8058,0.41
20250205,+245500,+252500,+243000,+244000,+2000,+0.83,88275,21836,0.41,--790,+9217,--10597,--7386,--7233,+22.64,+22.64,+22.64,--10597,+9217,--790,0.41
20250206,+245000,+251500,244000,+247500,+3500,+1.43,51006,12668,0.41,--5582,+8248,--2600,--6129,+2335,+22.62,+22.62,+22.62,--2600,+8248,--5582,0.41
20250207,247500,+248500,-244000,-245000,-2500,-1.01,26309,6480,0.47,+4353,--2869,--1746,+1500,--4917,+22.61,+22.61,+22.61,--1746,--2869,+4353,0.47
20250210,245000,+252000,-244000,+250000,+5000,+2.04,58785,14692,0.46,--11829,+21194,--8926,--8403,--10516,+22.55,+22.55,+22.55,--8926,+21194,--11829,0.46
20250211,-247500,-248500,-239000,-240000,-10000,-4.00,118675,28616,0.47,+59489,--37268,--22736,--6501,--28078,+22.40,+22.40,+22.40,--22736,--37268,+59489,0.47
20250212,+242000,+247500,+240500,+244500,+4500,+1.88,64297,15708,0.46,--12068,--2776,+14412,+5512,+16286,+22.49,+22.49,+22.49,+14412,--2776,--12068,0.46
20250213,+245000,+246000,-241000,+246000,+1500,+0.61,88053,21498,0.48,+17732,+10827,--28275,--5658,--6054,+22.31,+22.31,+22.31,--28275,+10827,+17732,0.48
20250214,-245000,+250000,-245000,+247500,+1500,+0.61,64436,15983,0.46,--4858,--6982,+11864,--4234,+11021,+22.39,+22.39,+22.39,+11864,--6982,--4858,0.46
