date,open_pric,high_pric,low_pric,close_pric,pred_rt,flu_rt,trde_qty,amt_mn,crd_rt,ind,orgn,for_qty,frgn,prm,for_rt,for_poss,for_wght,for_netprps,orgn_netprps,ind_netprps,crd_remn_rt
20241202,7590,+7650,-7500,-7550,-40,-0.53,93172,704,0.23,+3091,--495,--3400,--3070,--1864,+3.21,+3.21,+3.21,--3400,--495,+3091,0.23
20241203,+7560,+7780,+7560,+7750,+200,+2.65,125851,966,0.23,--47681,+16936,+28939,+9099,+29957,+3.30,+3.30,+3.30,+28939,+16936,--47681,0.23
20241204,-7630,-7700,-7550,-7650,-100,-1.29,71317,543,0.24,+10802,--820,--11982,--4629,--12661,+3.26,+3.26,+3.26,--11982,--820,+10802,0.24
20241205,-7500,-7640,-7500,-7590,-60,-0.78,92751,699,0.18,+15651,+5995,--40906,--26636,--36388,+3.13,+3.13,+3.13,--40906,+5995,+15651,0.18
20241206,-7570,+7640,-7490,+7600,+10,+0.13,46742,353,0.19,--15707,+8211,+5656,+6317,+2234,+3.15,+3.15,+3.15,+5656,+8211,--15707,0.19
20241209,-7580,-7580,-7250,-7270,-330,-4.34,104176,769,0.17,+27368,--17971,--17411,--12008,--10878,+3.09,+3.09,+3.09,--17411,--17971,+27368,0.17
20241210,7270,+7460,-7250,+7420,+150,+2.06,54336,403,0.16,+7080,--19142,+12026,+6497,+11646,+3.13,+3.13,+3.13,+12026,--19142,+7080,0.16
20241211,+7430,+7600,7420,+7500,+80,+1.08,58110,436,0.17,+6266,--19655,+12428,+4441,+12566,+3.17,+3.17,+3.17,+12428,--19655,+6266,0.17
20241212,+7530,+7620,-7490,+7550,+50,+0.67,38763,293,0.14,--11403,+5327,+4702,--938,+10512,+3.19,+3.19,+3.19,+4702,+5327,--11403,0.14
20241213,+7690,+7800,+7610,+7800,+250,+3.31,139972,1078,0.14,--61945,+46943,+12082,+805,+25935,+3.22,+3.22,+3.22,+12082,+46943,--61945,0.14
20241216,7800,+7810,-7660,-7670,-130,-1.67,68469,527,0.15,+1616,--1105,--6108,--3440,--6777,+3.20,+3.20,+3.20,--6108,--1105,+1616,0.15
20241217,+7710,+7710,-7550,-7600,-70,-0.91,43664,333,0.16,+14132,+3282,--22524,--13541,--20714,+3.13,+3.13,+3.13,--22524,+3282,+14132,0.16
20241218,-7560,+7670,-7560,+7650,+50,+0.66,33823,258,0.18,--4292,--587,+3217,--462,+3397,+3.14,+3.14,+3.14,+3217,--587,--4292,0.18
20241219,-7590,-7630,-7550,-7590,-60,-0.78,38534,293,0.18,+2256,+1019,--3475,--1986,--3393,+3.13,+3.13,+3.13,--3475,+1019,+2256,0.18
20241220,7590,7590,-7480,-7520,-70,-0.92,43465,326,0.17,+9558,+717,--14039,--4119,--13374,+3.09,+3.09,+3.09,--14039,+717,+9558,0.17
20241223,-7490,+7620,-7490,+7600,+80,+1.06,30629,232,0.17,--6681,+283,+5207,--1560,+5531,+3.11,+3.11,+3.11,+5207,+283,--6681,0.17
20241224,-7590,+7670,-7580,+7660,+60,+0.79,45089,344,0.17,--19082,--91,+18673,+1832,+18672,+3.16,+3.16,+3.16,+18673,--91,--19082,0.17
20241226,+7670,+7670,-7600,-7650,-10,-0.13,37870,289,0.17,+10018,+87,--10481,--3739,--10750,+3.13,+3.13,+3.13,--10481,+87,+10018,0.17
20241227,-7620,-7640,-7450,-7480,-170,-2.22,41562,312,0.16,+8572,--105,--9241,--4541,--9043,+3.10,+3.10,+3.10,--9241,--105,+8572,0.16
20241230,-7430,+7530,-7350,-7440,-40,-0.53,51766,383,0.17,+6872,--562,--6671,--3521,--15580,+3.08,+3.08,+3.08,--6671,--562,+6872,0.17
20250102,7440,+7530,-7280,-7350,-90,-1.21,36403,267,0.17,+14011,--8645,--5806,--6528,--3489,+3.06,+3.06,+3.06,--5806,--8645,+14011,0.17
20250103,-7330,+7450,-7270,+7420,+70,+0.95,48709,360,0.20,--9845,+14995,--5217,--4020,+18939,+3.05,+3.05,+3.05,--5217,+14995,--9845,0.20
20250106,7420,+7460,-7370,7420,0,0.00,37265,276,0.21,+13771,--10513,--3525,--2509,--3769,+3.03,+3.03,+3.03,--3525,--10513,+13771,0.21
20250107,-7380,+7450,-7340,-7390,-30,-0.40,56154,414,0.21,+5941,--9720,+3739,--2949,+5063,+3.05,+3.05,+3.05,+3739,--9720,+5941,0.21
20250108,+7430,+7430,-7320,-7360,-30,-0.41,37616,277,0.21,+13938,--13512,--408,--1380,--1891,+3.05,+3.05,+3.05,--408,--13512,+13938,0.21
20250109,+7380,+7380,-7300,-7330,-30,-0.41,64447,472,0.24,+22223,--13048,--9187,--2432,--9068,+3.02,+3.02,+3.02,--9187,--13048,+22223,0.24
20250110,7330,+7420,-7290,+7340,+10,+0.14,119974,882,0.24,--48058,--8555,+56581,+8859,+55676,+3.19,+3.19,+3.19,+56581,--8555,--48058,0.24
20250113,+7350,+7380,-7300,+7380,+40,+0.54,91842,675,0.26,--15720,--24402,+41937,+17179,+40748,+3.33,+3.33,+3.33,+41937,--24402,--15720,0.26
20250114,+6850,+6850,-6560,-6580,-20,-0.30,210272,1393,0.24,+124188,--9957,--116910,--29185,--90546,+2.96,+2.96,+2.96,--116910,--9957,+124188,0.24
20250115,+6620,+6620,-6450,-6470,-110,-1.67,99201,646,0.25,+19811,--11122,--9915,--14527,--3283,+2.93,+2.93,+2.93,--9915,--11122,+19811,0.25
20250116,-6460,+6550,-6430,+6510,+40,+0.62,60393,391,0.35,+17122,--12080,--5455,--5815,--3466,+2.91,+2.91,+2.91,--5455,--12080,+17122,0.35
20250117,+6540,+6580,-6500,+6550,+40,+0.61,37413,244,0.35,--159,--172,+1884,+624,+1302,+2.92,+2.92,+2.92,+1884,--172,--159,0.35
20250120,6550,+6650,-6540,+6630,+80,+1.22,49446,326,0.35,+7290,--1968,--5254,--4740,--2596,+2.90,+2.90,+2.90,--5254,--1968,+7290,0.35
20250121,+6640,+6660,-6570,+6650,+20,+0.30,67463,447,0.33,--25157,+22254,+2903,--75,+1735,+2.91,+2.91,+2.91,+2903,+22254,--25157,0.33
20250122,+6660,+6670,-6560,-6580,-70,-1.05,41124,271,0.32,+24612,--9101,--15513,--10321,--15512,+2.86,+2.86,+2.86,--15513,--9101,+24612,0.32
20250123,+6620,+6620,-6570,6580,0,0.00,17430,115,0.30,+5540,--1279,--2594,--2535,--2688,+2.85,+2.85,+2.85,--2594,--1279,+5540,0.30
20250124,+6600,+6610,-6560,-6570,-10,-0.15,13668,90,0.31,+4355,--2363,--1992,--748,--1992,+2.85,+2.85,+2.85,--1992,--2363,+4355,0.31
20250131,+6600,+6660,6570,+6600,+30,+0.46,29279,194,0.31,--7725,+3333,+4447,+2195,+6992,+2.86,+2.86,+2.86,+4447,+3333,--7725,0.31
