date,open_pric,high_pric,low_pric,close_pric,pred_rt,flu_rt,trde_qty,amt_mn,crd_rt,ind,orgn,for_qty,frgn,prm,for_rt,for_poss,for_wght,for_netprps,orgn_netprps,ind_netprps,crd_remn_rt
20241202,+11440,+11540,-11320,+11380,+35,+0.31,11152894,127052,1.83,--142981,--104863,+247305,0,0,+1.05,+1.05,+1.05,+247305,--104863,--142981,1.83
20241203,+11415,+11750,+11415,+11645,+265,+2.33,9310691,108319,1.95,--857599,+804880,+43163,0,0,+1.09,+1.09,+1.09,+43163,+804880,--857599,1.95
20241204,-11475,+11655,-11370,-11455,-190,-1.63,13581667,155580,1.83,+699315,--484360,--221542,0,0,+0.86,+0.86,+0.86,--221542,--484360,+699315,1.83
20241205,+11505,+11540,-11340,-11385,-70,-0.61,10907772,124437,1.54,+53804,--235653,+176523,0,0,+1.02,+1.02,+1.02,+176523,--235653,+53804,1.54
20241206,+11400,+11415,-10980,-11335,-50,-0.44,19474220,218340,1.63,+785537,--630848,--160836,0,0,+0.87,+0.87,+0.87,--160836,--630848,+785537,1.63
20241209,-11130,-11130,-10755,-10770,-565,-4.98,26719976,290447,1.59,+2608163,--2894687,+230511,0,0,+1.10,+1.10,+1.10,+230511,--2894687,+2608163,1.59
20241210,+10950,+11325,+10950,+11275,+505,+4.69,31030778,349444,2.05,--1222320,+958440,+164283,0,0,+1.28,+1.28,+1.28,+164283,+958440,--1222320,2.05
20241211,11275,+11470,-11215,+11345,+70,+0.62,16372372,186096,2.77,--274646,+892284,--619847,0,0,+0.62,+0.62,+0.62,--619847,+892284,--274646,2.77
20241212,+11480,+11590,-11295,+11580,+235,+2.07,11709088,134636,2.01,--570517,+700526,--141749,--43549,0,+0.43,+0.43,+0.43,--141749,+700526,--570517,2.01
20241213,-11540,+11700,-11460,+11600,+20,+0.17,8111069,94047,2.04,+153442,--513454,+412816,0,0,+0.84,+0.84,+0.84,+412816,--513454,+153442,2.04
20241216,+11730,+11755,-11555,+11615,+15,+0.13,11866745,138326,1.69,--357330,+652333,--297390,0,0,+0.56,+0.56,+0.56,--297390,+652333,--357330,1.69
20241217,+11660,+11665,-11435,-11490,-125,-1.08,6762173,77666,1.66,+161513,--242687,+83188,0,0,+0.64,+0.64,+0.64,+83188,--242687,+161513,1.66
20241218,+11510,+11600,-11390,+11550,+60,+0.52,6401537,73749,1.49,--75570,--23101,+100267,0,0,+0.72,+0.72,+0.72,+100267,--23101,--75570,1.49
20241219,-11240,-11360,-11180,-11245,-305,-2.64,10378894,116567,1.79,+507656,--566563,+65234,0,0,+0.79,+0.79,+0.79,+65234,--566563,+507656,1.79
20241220,-11235,+11255,-10925,-10975,-270,-2.40,9686866,106954,1.79,+261366,--269631,+6702,0,0,+0.80,+0.80,+0.80,+6702,--269631,+261366,1.79
20241223,+11110,+11285,+11000,+11155,+180,+1.64,14527835,161926,1.91,--533815,+432540,+102294,0,0,+0.89,+0.89,+0.89,+102294,+432540,--533815,1.91
20241224,+11205,+11270,-11135,+11225,+70,+0.63,6202421,69562,1.77,--175614,+349283,--168422,0,0,+0.73,+0.73,+0.73,--168422,+349283,--175614,1.77
20241226,+11300,+11300,-11135,-11180,-45,-0.40,8372497,93819,1.62,+344344,--300834,--55670,0,0,+0.68,+0.68,+0.68,--55670,--300834,+344344,1.62
20241227,-11165,+11260,-10970,-11055,-125,-1.12,7916488,87797,1.58,+229302,--328508,+96887,0,0,+0.79,+0.79,+0.79,+96887,--328508,+229302,1.58
20241230,-11010,+11335,-10975,+11275,+220,+1.99,8504761,95664,1.62,--564028,+511460,+58201,0,0,+0.83,+0.83,+0.83,+58201,+511460,--564028,1.62
20250102,+11285,+11420,-11200,+11320,+45,+0.40,6617459,74922,1.58,+293177,--307575,+22535,0,0,+0.86,+0.86,+0.86,+22535,--307575,+293177,1.58
20250103,-11300,+11780,-11295,+11755,+435,+3.84,10458849,121897,1.45,--481251,+597202,--116775,0,0,+0.74,+0.74,+0.74,--116775,+597202,--481251,1.45
20250106,-11735,+11985,-11725,+11935,+180,+1.53,10182459,120966,1.51,--321298,+321905,--4322,+15000,0,+0.74,+0.74,+0.74,--4322,+321905,--321298,1.51
20250107,+11950,+12055,-11925,+11965,+30,+0.25,13211149,158483,1.19,--370554,+459342,--82422,0,0,+0.66,+0.66,+0.66,--82422,+459342,--370554,1.19
20250108,-11930,+12020,-11830,+12000,+35,+0.29,6942093,83106,1.15,--263880,+337221,--73413,0,0,+0.60,+0.60,+0.60,--73413,+337221,--263880,1.15
20250109,-11980,+12070,-11880,+12025,+25,+0.21,6467950,77899,1.09,--48982,--28424,+85766,--15000,0,+0.69,+0.69,+0.69,+85766,--28424,--48982,1.09
20250110,-12015,+12045,-11870,-11935,-90,-0.75,6286945,75040,0.89,+20368,+26292,--36742,0,0,+0.61,+0.61,+0.61,--36742,+26292,+20368,0.89
20250113,-11830,-11930,-11650,-11715,-220,-1.84,6804691,79965,0.92,--558009,+522916,+33550,0,0,+0.64,+0.64,+0.64,+33550,+522916,--558009,0.92
20250114,+11780,+11965,+11730,+11930,+215,+1.84,7073593,83991,0.97,--244875,+348973,--103610,0,0,+0.55,+0.55,+0.55,--103610,+348973,--244875,0.97
20250115,+12035,+12055,-11760,-11805,-125,-1.05,8741847,103730,1.02,+533399,--650615,+116946,0,0,+0.66,+0.66,+0.66,+116946,--650615,+533399,1.02
20250116,+11980,+12130,+11965,+12050,+245,+2.08,8084606,97586,0.95,--677595,+671167,--6370,0,0,+0.66,+0.66,+0.66,--6370,+671167,--677595,0.95
20250117,-12020,+12080,-11990,+12065,+15,+0.12,7068354,85390,1.07,--50941,--511476,+562455,0,0,+1.19,+1.19,+1.19,+562455,--511476,--50941,1.07
20250120,+12105,+12190,-12025,+12155,+90,+0.75,7012631,85142,0.93,--210814,+229299,--19169,0,0,+1.17,+1.17,+1.17,--19169,+229299,--210814,0.93
20250121,+12185,+12320,-12010,-12145,-10,-0.08,7327149,88985,0.89,+59598,--161988,+63296,0,0,+1.23,+1.23,+1.23,+63296,--161988,+59598,0.89
20250122,+12205,+12320,+12180,+12265,+120,+0.99,5831986,71590,0.84,--144384,+105399,--2426,0,0,+1.23,+1.23,+1.23,--2426,+105399,--144384,0.84
20250123,-12245,-12250,-12150,-12195,-70,-0.57,6929284,84501,0.87,--84271,+140338,--51576,0,0,+1.19,+1.19,+1.19,--51576,+140338,--84271,0.87
20250124,+12200,+12345,-12135,+12310,+115,+0.94,5126870,62985,0.86,--112918,+68120,+39435,0,0,+1.24,+1.24,+1.24,+39435,+68120,--112918,0.86
20250131,-12230,+12315,-12065,+12315,+5,+0.04,5580472,68735,0.81,--128995,+91083,+28800,0,0,+1.26,+1.26,+1.26,+28800,+91083,--128995,0.81
20250203,-12080,-12080,-11740,-11810,-505,-4.10,11905423,141217,0.78,+591633,--705638,+111086,0,0,+1.39,+1.39,+1.39,+111086,--705638,+591633,0.78
20250204,+11985,+12315,+11985,+12125,+315,+2.67,9327112,113180,0.74,--658005,+874983,--218042,0,0,+1.18,+1.18,+1.18,--218042,+874983,--658005,0.74
20250205,+12225,+12370,+12225,+12340,+215,+1.77,8240198,101579,0.99,--206500,+142377,+52263,0,0,+1.22,+1.22,+1.22,+52263,+142377,--206500,0.99
20250206,+12435,+12515,+12405,+12515,+175,+1.42,7403368,92437,0.78,--284380,+339840,--67038,0,0,+1.17,+1.17,+1.17,--67038,+339840,--284380,0.78
20250207,-12495,+12620,-12435,+12565,+50,+0.40,9405926,117915,0.73,--35264,+58994,--30599,0,0,+1.15,+1.15,+1.15,--30599,+58994,--35264,0.73
20250210,-12510,+12660,-12360,+12645,+80,+0.64,12216745,153954,0.67,--53908,+125229,--70039,0,0,+1.09,+1.09,+1.09,--70039,+125229,--53908,0.67
20250211,+12685,+12735,-12585,-12610,-35,-0.28,10089604,127569,0.66,+44411,--261627,+217308,0,0,+1.29,+1.29,+1.29,+217308,--261627,+44411,0.66
20250212,-12570,-12590,-12455,-12565,-45,-0.36,6583894,82864,0.62,+4930,+79461,--86721,0,0,+1.22,+1.22,+1.22,--86721,+79461,+4930,0.62
20250213,+12645,+12710,-12520,+12590,+25,+0.20,6442286,81177,0.63,--73144,--74462,+101735,0,0,+1.36,+1.36,+1.36,+101735,--74462,--73144,0.63
20250214,+12640,+12860,+12625,+12800,+210,+1.67,6947409,88786,0.62,--377719,+279033,--43407,0,0,+1.30,+1.30,+1.30,--43407,+279033,--377719,0.62
20250217,+12855,+13010,+12815,+12995,+195,+1.52,9681304,125730,0.65,--158553,+372214,--158103,0,0,+1.16,+1.16,+1.16,--158103,+372214,--158553,0.65
20250218,+13020,+13060,-12900,+13055,+60,+0.46,8414011,109679,0.58,--88534,+282113,--62141,0,0,+1.11,+1.11,+1.11,--62141,+282113,--88534,0.58
20250219,-13030,+13200,-13000,+13140,+85,+0.65,10658785,140058,0.57,--251098,+393983,--112157,0,0,+1.01,+1.01,+1.01,--112157,+393983,--251098,0.57
20250220,-13120,+13235,-12920,-12965,-175,-1.33,9208376,120085,0.60,+30340,--241155,+216976,0,0,+1.27,+1.27,+1.27,+216976,--241155,+30340,0.60
20250221,-12955,+13140,-12925,+13110,+145,+1.12,5828706,76300,0.57,--214469,+184575,+29607,0,0,+1.31,+1.31,+1.31,+29607,+184575,--214469,0.57
20250224,-12985,+13160,-12930,+13160,+50,+0.38,6143802,80325,0.55,--43581,+124904,--79393,0,0,+1.23,+1.23,+1.23,--79393,+124904,--43581,0.55
20250225,-12980,+13165,-12955,-13080,-80,-0.61,4374601,57185,0.57,+80619,--40287,--41189,+33359,0,+1.19,+1.19,+1.19,--41189,--40287,+80619,0.57
20250226,-13050,+13185,-12995,+13090,+10,+0.08,5105217,66862,0.55,--2276,+48067,--43810,0,0,+1.11,+1.11,+1.11,--43810,+48067,--2276,0.55
20250227,+13140,+13270,+13105,+13185,+95,+0.73,9082512,119647,0.57,--203903,+87273,+115589,0,0,+1.23,+1.23,+1.23,+115589,+87273,--203903,0.57
20250228,-12970,-12990,-12600,-12635,-550,-4.17,11765639,149677,0.56,+712947,--691224,--34739,+12000,0,+1.19,+1.19,+1.19,--34739,--691224,+712947,0.56
20250304,-12550,-12585,-12400,-12575,-60,-0.47,9844808,123336,0.55,+141183,--176596,--76119,0,0,+1.12,+1.12,+1.12,--76119,--176596,+141183,0.55
20250305,+12700,+12800,-12570,+12665,+90,+0.72,10763644,136566,0.71,+30066,--389178,+121185,--4359,0,+1.27,+1.27,+1.27,+121185,--389178,+30066,0.71
20250306,+12750,+12750,-12330,-12385,-280,-2.21,11918720,148456,0.80,+717797,--521083,--51846,--41000,0,+1.25,+1.25,+1.25,--51846,--521083,+717797,0.80
20250307,-12300,+12460,-12215,-12250,-135,-1.09,10996705,134903,0.76,+180246,--73392,--12984,0,0,+1.24,+1.24,+1.24,--12984,--73392,+180246,0.76
20250310,-12190,+12355,-12012,-12185,-65,-0.53,8509104,103485,1.02,+10167,+320851,--332143,0,0,+0.88,+0.88,+0.88,--332143,+320851,+10167,1.02
20250311,-11890,-12110,-11785,-12110,-75,-0.62,8646348,103665,1.14,+248580,--237531,--34099,0,0,+0.86,+0.86,+0.86,--34099,--237531,+248580,1.14
20250312,-12085,+12295,-12065,+12180,+70,+0.58,7200767,87941,1.19,--265291,+158406,--31396,0,0,+0.85,+0.85,+0.85,--31396,+158406,--265291,1.19
20250313,+12275,+12335,-12045,-12050,-130,-1.07,6732795,81619,1.40,+225186,--122829,+22266,0,0,+0.90,+0.90,+0.90,+22266,--122829,+225186,1.40
20250314,+12085,+12345,+12060,+12245,+195,+1.62,8191666,100675,1.23,--340195,+358029,--19325,0,0,+0.90,+0.90,+0.90,--19325,+358029,--340195,1.23
20250317,+12360,+12545,+12250,+12545,+300,+2.45,8654660,108145,1.34,--236214,--41727,--32261,+42273,0,+0.86,+0.86,+0.86,--32261,--41727,--236214,1.34
20250318,+12630,+12650,-12495,+12595,+50,+0.40,9375912,118110,1.11,--35855,--368031,+52044,0,0,+0.92,+0.92,+0.92,+52044,--368031,--35855,1.11
20250319,-12535,+12665,-12405,-12425,-170,-1.35,7021321,87566,0.95,+397219,+127650,+29176,0,0,+0.95,+0.95,+0.95,+29176,+127650,+397219,0.95
20250320,+12540,+12545,-12110,-12110,-315,-2.54,9810430,120040,0.90,+716316,--758429,+100223,0,0,+1.05,+1.05,+1.05,+100223,--758429,+716316,0.90
20250321,-11910,-12030,-11830,-11910,-200,-1.65,11396642,135898,1.00,+550638,--703796,+145466,+80000,0,+1.20,+1.20,+1.20,+145466,--703796,+550638,1.00
20250324,+11980,+12135,+11920,+12000,+90,+0.76,12433776,149515,1.33,+43915,--140083,--93479,0,0,+1.10,+1.10,+1.10,--93479,--140083,+43915,1.33
20250325,+12065,+12085,-11800,-11830,-170,-1.42,8999524,107289,1.61,+137367,+124379,--78013,0,0,+1.00,+1.00,+1.00,--78013,+124379,+137367,1.61
20250326,+11915,+11950,-11670,+11920,+90,+0.76,11128851,132138,1.78,+74841,--111354,+37166,0,0,+1.04,+1.04,+1.04,+37166,--111354,+74841,1.78
20250327,-11790,+11945,-11730,-11740,-180,-1.51,8228489,96910,1.89,+364863,--479748,+108645,+20000,0,+1.18,+1.18,+1.18,+108645,--479748,+364863,1.89
20250328,+11775,+11780,-11470,-11505,-235,-2.00,11746927,135609,1.83,+595804,--702217,+1080676,0,0,+2.49,+2.49,+2.49,+1080676,--702217,+595804,1.83
20250331,-11315,-11425,-11120,-11180,-325,-2.82,18785617,210574,1.91,+1328181,--1350935,--51214,0,0,+2.33,+2.33,+2.33,--51214,--1350935,+1328181,1.91
20250401,+11265,+11615,+11225,+11490,+310,+2.77,25339368,291086,1.85,--365816,+275749,--37533,0,0,+2.25,+2.25,+2.25,--37533,+275749,--365816,1.85
20250402,11490,+11540,-11250,-11325,-165,-1.44,9481252,107583,2.13,+420572,--422335,+98398,+20000,0,+2.34,+2.34,+2.34,+98398,--422335,+420572,2.13
20250403,-11000,+11645,-10980,11325,0,0.00,12513845,140798,1.78,+256789,--1122865,+83157,0,0,+2.31,+2.31,+2.31,+83157,--1122865,+256789,1.78
20250404,-11210,+11680,-11150,+11410,+85,+0.75,23067546,263513,1.89,+463187,--693542,+168209,0,0,+2.51,+2.51,+2.51,+168209,--693542,+463187,1.89
20250407,-10925,-11065,-10735,-10735,-675,-5.92,17654106,191402,1.91,+1185901,--1564078,--514141,--80000,0,+1.92,+1.92,+1.92,--514141,--1564078,+1185901,1.91
20250408,+11000,+11095,+10830,+10900,+165,+1.54,24626527,270335,1.78,--576918,+627419,--63029,0,0,+1.80,+1.80,+1.80,--63029,+627419,--576918,1.78
20250409,-10825,-10885,-10495,-10610,-290,-2.66,17032749,181532,2.02,+1288364,--1946874,+18949,+40000,0,+1.80,+1.80,+1.80,+18949,--1946874,+1288364,2.02
20250410,+11245,+11345,+11080,+11295,+685,+6.46,18657059,209990,1.78,--1081638,+1086810,+27006,0,0,+1.78,+1.78,+1.78,+27006,+1086810,--1081638,1.78
20250411,-11120,+11510,-11100,+11480,+185,+1.64,15811189,180262,2.06,--556324,+545904,--89196,0,0,+1.66,+1.66,+1.66,--89196,+545904,--556324,2.06
20250414,+11550,+11755,+11520,+11725,+245,+2.13,13011816,152592,1.63,--497933,+451223,--247313,0,0,+1.39,+1.39,+1.39,--247313,+451223,--497933,1.63
20250415,-11685,+11765,-11570,-11710,-15,-0.13,8200102,96087,1.42,--312052,+110478,+142819,0,0,+1.49,+1.49,+1.49,+142819,+110478,--312052,1.42
20250416,-11655,-11665,-11385,-11385,-325,-2.78,8596431,98785,1.25,+106211,--200234,--680378,0,0,+0.83,+0.83,+0.83,--680378,--200234,+106211,1.25
