date,open_pric,high_pric,low_pric,close_pric,pred_rt,flu_rt,trde_qty,amt_mn,crd_rt,ind,orgn,for_qty,frgn,prm,for_rt,for_poss,for_wght,for_netprps,orgn_netprps,ind_netprps,crd_remn_rt
20241202,+988000,+995000,-965000,-971000,-4000,-0.41,50880,49760,0.07,--4289,+3244,+11539,+1219,--1545,+13.22,+13.22,+13.22,+11539,+3244,--4289,0.07
20241203,+983000,+991000,-964000,-967000,-4000,-0.41,85347,83150,0.07,+7049,--3076,--3816,--7073,--10189,+13.22,+13.22,+13.22,--3816,--3076,+7049,0.07
20241204,-953000,+971000,-941000,-961000,-6000,-0.62,90430,86617,0.07,--10749,+1016,+9083,+4190,+1235,+13.23,+13.23,+13.23,+9083,+1016,--10749,0.07
20241205,+964000,+981000,+963000,+964000,+3000,+0.31,47093,45667,0.07,--1019,--4370,+18503,+3429,--3601,+13.25,+13.25,+13.25,+18503,--4370,--1019,0.07
20241206,+970000,+984000,-956000,-962000,-2000,-0.21,79185,76531,0.07,--8531,+15871,--2343,+3105,+2546,+13.25,+13.25,+13.25,--2343,+15871,--8531,0.07
20241209,-942000,+975000,-941000,-953000,-9000,-0.94,118678,113633,0.07,--16612,--5195,+23095,+31930,+12652,+13.28,+13.28,+13.28,+23095,--5195,--16612,0.07
20241210,+962000,+966000,-946000,+959000,+6000,+0.63,86078,82308,0.07,+4353,--1671,+11536,+7778,+1127,+13.30,+13.30,+13.30,+11536,--1671,+4353,0.07
20241211,-955000,+965000,-946000,-949000,-10000,-1.04,68819,65742,0.06,--11692,--4417,+15127,+16438,+15805,+13.32,+13.32,+13.32,+15127,--4417,--11692,0.06
20241212,+955000,+980000,-944000,+958000,+9000,+0.95,120889,116124,0.07,--8753,--2695,+11478,+9904,+11776,+13.34,+13.34,+13.34,+11478,--2695,--8753,0.07
20241213,+959000,+995000,-950000,+986000,+28000,+2.92,76812,75297,0.07,--25681,+1647,+21413,+13519,+9972,+13.36,+13.36,+13.36,+21413,+1647,--25681,0.07
20241216,+997000,+1000000,-979000,+999000,+13000,+1.32,65335,64926,0.07,--9758,+4312,+640,+16027,--3742,+13.36,+13.36,+13.36,+640,+4312,--9758,0.07
20241217,-997000,999000,-973000,-974000,-25000,-2.50,60499,59424,0.07,+13106,+1366,--14169,--12050,--17029,+13.34,+13.34,+13.34,--14169,+1366,+13106,0.07
20241218,+978000,+986000,-966000,+980000,+6000,+0.62,40807,39934,0.06,--2426,+7877,+4949,--6877,--1652,+13.35,+13.35,+13.35,+4949,+7877,--2426,0.06
20241219,-965000,980000,-955000,-958000,-22000,-2.24,71356,68671,0.06,+11367,--9074,--8884,--5220,--5632,+13.34,+13.34,+13.34,--8884,--9074,+11367,0.06
20241220,-947000,-948000,-908000,-939000,-19000,-1.98,100460,93549,0.07,+6655,--4562,+7376,+84,--17071,+13.34,+13.34,+13.34,+7376,--4562,+6655,0.07
20241223,+946000,+956000,+940000,+949000,+10000,+1.06,33263,31579,0.06,--4995,+3334,+2646,+2520,+2346,+13.35,+13.35,+13.35,+2646,+3334,--4995,0.06
20241224,+953000,+958000,-930000,-938000,-11000,-1.16,40596,38227,0.06,+8112,--1553,+2201,+4849,--5426,+13.35,+13.35,+13.35,+2201,--1553,+8112,0.06
20241226,938000,+952000,-933000,-937000,-1000,-0.11,37570,35303,0.06,--2029,--4077,--7605,+6499,+10082,+13.34,+13.34,+13.34,--7605,--4077,--2029,0.06
20241227,-933000,+940000,-920000,-934000,-3000,-0.32,35257,32796,0.06,--3657,--2385,+3239,+5288,+5034,+13.35,+13.35,+13.35,+3239,--2385,--3657,0.06
20241230,+935000,+969000,-932000,+949000,+15000,+1.61,52104,49831,0.06,--18352,+7128,+11762,+5063,+12695,+13.36,+13.36,+13.36,+11762,+7128,--18352,0.06
20250102,+950000,+952000,-924000,-934000,-15000,-1.58,54913,51309,0.06,+26237,--6056,--33889,--14893,--18913,+13.31,+13.31,+13.31,--33889,--6056,+26237,0.06
20250103,934000,+951000,-932000,+940000,+6000,+0.64,44072,41416,0.06,+2590,--685,+8993,--3692,+2642,+13.33,+13.33,+13.33,+8993,--685,+2590,0.06
20250106,940000,+948000,-932000,+946000,+6000,+0.64,44832,42212,0.06,+86,+282,--886,+1100,+3173,+13.33,+13.33,+13.33,--886,+282,+86,0.06
20250107,+951000,+1005000,+950000,+983000,+37000,+3.91,151667,150264,0.06,--55327,+7244,+51493,+27709,+37791,+13.40,+13.40,+13.40,+51493,+7244,--55327,0.06
20250108,+991000,+1011000,+989000,+1008000,+25000,+2.54,107152,107706,0.06,--38268,+22376,+17874,+9040,+12906,+13.42,+13.42,+13.42,+17874,+22376,--38268,0.06
20250109,-1000000,+1014000,-992000,-1006000,-2000,-0.20,49799,50091,0.05,--7035,+8314,--2350,--3431,--3602,+13.42,+13.42,+13.42,--2350,+8314,--7035,0.05
20250110,-1001000,+1020000,-999000,-1000000,-6000,-0.60,42326,42629,0.05,+360,+1912,--2518,--1557,--695,+13.42,+13.42,+13.42,--2518,+1912,+360,0.05
20250113,+1006000,+1044000,+1005000,+1012000,+12000,+1.20,72362,73835,0.05,--6569,+7223,+70,+4383,+3716,+13.42,+13.42,+13.42,+70,+7223,--6569,0.05
20250114,+1049000,+1062000,+1018000,+1024000,+12000,+1.19,97967,101046,0.05,--845,+4917,--4104,+9285,--9890,+13.41,+13.41,+13.41,--4104,+4917,--845,0.05
20250115,+1036000,+1046000,-1020000,-1020000,-4000,-0.39,71505,73774,0.05,--9198,+339,+8778,+13575,--14292,+13.42,+13.42,+13.42,+8778,+339,--9198,0.05
20250116,+1027000,+1053000,+1027000,+1042000,+22000,+2.16,86168,89667,0.05,--25354,+7721,+20518,+16722,+4820,+13.45,+13.45,+13.45,+20518,+7721,--25354,0.05
20250117,-1036000,-1038000,-1015000,-1015000,-27000,-2.59,47724,48906,0.05,+11725,+1276,--13847,--7741,--14126,+13.43,+13.43,+13.43,--13847,+1276,+11725,0.05
20250120,+1022000,+1030000,-1013000,1015000,0,0.00,38844,39586,0.05,+509,+2545,--3027,--833,--1839,+13.43,+13.43,+13.43,--3027,+2545,+509,0.05
20250121,+1023000,+1027000,-1000000,-1001000,-14000,-1.38,45761,46203,0.05,+4072,+2357,--6193,--4388,--6296,+13.42,+13.42,+13.42,--6193,+2357,+4072,0.05
20250122,+1011000,+1037000,+1005000,+1014000,+13000,+1.30,66774,68026,0.05,--7240,+8124,--505,--1361,--1018,+13.42,+13.42,+13.42,--505,+8124,--7240,0.05
