date,open_pric,high_pric,low_pric,close_pric,pred_rt,flu_rt,trde_qty,amt_mn,crd_rt,ind,orgn,for_qty,frgn,prm,for_rt,for_poss,for_wght,for_netprps,orgn_netprps,ind_netprps,crd_remn_rt
20241202,+104800,+105200,-102900,-103300,-900,-0.86,165400,17173,0.55,+14830,+16962,--33482,--34532,--7165,+28.37,+28.37,+28.37,--33482,+16962,+14830,0.55
20241203,+104500,+109500,+104500,+109500,+6200,+6.00,309770,33442,0.59,--101539,+40943,+66126,--5278,+118024,+28.49,+28.49,+28.49,+66126,+40943,--101539,0.59
20241204,-106900,109500,-106200,-108800,-700,-0.64,307177,33222,0.59,--32403,+50440,--16128,--34499,+38201,+28.46,+28.46,+28.46,--16128,+50440,--32403,0.59
20241205,+109000,+109700,-105000,-105100,-3700,-3.40,178011,18972,0.55,+55587,--13220,--41973,--18509,--19797,+28.38,+28.38,+28.38,--41973,--13220,+55587,0.55
20241206,-105000,+105800,-101600,-102800,-2300,-2.19,203246,21008,0.53,+37914,+17637,--60840,--59552,+6023,+28.28,+28.28,+28.28,--60840,+17637,+37914,0.53
20241209,-101100,-102600,-99500,-99500,-3300,-3.21,268453,27003,0.53,+12676,--8933,--6335,--14205,+44227,+28.27,+28.27,+28.27,--6335,--8933,+12676,0.53
20241210,+100400,+108700,+100400,+106700,+7200,+7.24,394293,42177,0.55,--122114,+65243,+57535,+34832,+139079,+28.36,+28.36,+28.36,+57535,+65243,--122114,0.55
20241211,+108300,+111300,+106800,+111100,+4400,+4.12,351929,38498,0.53,--47751,+45038,+2851,--35273,+28889,+28.37,+28.37,+28.37,+2851,+45038,--47751,0.53
20241212,-110900,+115300,-110700,+111700,+600,+0.54,540579,60996,0.50,--44178,+19087,+166,+3664,+53609,+28.37,+28.37,+28.37,+166,+19087,--44178,0.50
20241213,+112400,+114000,-110400,-111600,-100,-0.09,257494,28756,0.50,+30853,+16702,--50046,+5258,+5095,+28.28,+28.28,+28.28,--50046,+16702,+30853,0.50
20241216,+114500,+115200,+111700,+111900,+300,+0.27,208055,23491,0.49,+48078,--9225,--42900,+415,+12030,+28.20,+28.20,+28.20,--42900,--9225,+48078,0.49
20241217,+112200,+112200,-109000,-110400,-1500,-1.34,225553,24865,0.50,+31172,+21078,--52024,--20794,+25154,+28.11,+28.11,+28.11,--52024,+21078,+31172,0.50
20241218,+110700,+111500,-109100,-110000,-400,-0.36,200341,22031,0.51,+52507,--4791,--47659,--57965,+41820,+28.03,+28.03,+28.03,--47659,--4791,+52507,0.51
20241219,-107000,+110700,-105500,-109600,-400,-0.36,305075,33085,0.52,+30507,+44502,--74752,--89886,--4622,+27.90,+27.90,+27.90,--74752,+44502,+30507,0.52
20241220,-109000,+112800,-108500,-109400,-200,-0.18,206596,22784,0.53,+8280,+14932,--207279,--17517,--21071,+27.54,+27.54,+27.54,--207279,+14932,+8280,0.53
20241223,+109700,+113000,+109500,+110300,+900,+0.82,257933,28650,0.54,+14017,+6733,--12698,--17940,--1232,+27.52,+27.52,+27.52,--12698,+6733,+14017,0.54
20241224,+110900,+111100,-108400,-109100,-1200,-1.09,145065,15851,0.52,+45406,+145,--46177,--32810,--17242,+27.44,+27.44,+27.44,--46177,+145,+45406,0.52
20241226,+110100,+111600,-105500,-108100,-1000,-0.92,278029,29911,0.53,+42628,+6675,--49204,--37785,--3565,+27.36,+27.36,+27.36,--49204,+6675,+42628,0.53
20241227,-106900,+108400,-103600,-105100,-3000,-2.78,209637,22059,0.54,+76741,--16426,--61117,--49144,--9549,+27.25,+27.25,+27.25,--61117,--16426,+76741,0.54
20241230,-104400,+105900,-103400,-104800,-300,-0.29,128245,13490,0.55,+6018,+10224,--20718,--40962,--11462,+27.22,+27.22,+27.22,--20718,+10224,+6018,0.55
20250102,104800,+105700,-101500,-103400,-1400,-1.34,175447,18195,0.56,+35697,--6601,--29232,--35749,+21881,+27.17,+27.17,+27.17,--29232,--6601,+35697,0.56
20250103,-102800,+108200,-102800,+108100,+4700,+4.55,290349,30945,0.57,--66053,+79074,+220,--20062,+44492,+27.17,+27.17,+27.17,+220,+79074,--66053,0.57
20250106,+111000,+117500,+110500,+115800,+7700,+7.12,700258,81147,0.57,--183348,+167150,+15622,+52639,+10713,+27.19,+27.19,+27.19,+15622,+167150,--183348,0.57
20250107,+116300,+116800,-114300,+115900,+100,+0.09,264102,30535,0.55,--3991,+54600,--48560,+11470,--57370,+27.11,+27.11,+27.11,--48560,+54600,--3991,0.55
20250108,-114300,+116300,-113800,-115100,-800,-0.69,224757,25913,0.49,+21321,+48495,--69833,--30548,--60643,+26.99,+26.99,+26.99,--69833,+48495,+21321,0.49
20250109,+115700,+119000,+115200,+115400,+300,+0.26,373910,43729,0.49,--27727,--9778,+31280,+18093,--10292,+27.04,+27.04,+27.04,+31280,--9778,--27727,0.49
20250110,+115900,+119000,-114100,+115700,+300,+0.26,245346,28501,0.50,+23952,--505,--25091,--621,--40235,+27.00,+27.00,+27.00,--25091,--505,+23952,0.50
20250113,+116600,+119300,+116200,+117600,+1900,+1.64,284860,33447,0.51,--3795,+56719,--52745,--24259,--61722,+26.91,+26.91,+26.91,--52745,+56719,--3795,0.51
20250114,+118300,+118500,-114900,-115300,-2300,-1.96,175448,20310,0.51,+51135,--3529,--49123,--15975,--57004,+26.83,+26.83,+26.83,--49123,--3529,+51135,0.51
20250115,+115800,+117200,-113200,-114100,-1200,-1.04,172645,19842,0.52,+28817,--4677,--8411,--28580,--26409,+26.81,+26.81,+26.81,--8411,--4677,+28817,0.52
20250116,+116000,+123000,+116000,+122900,+8800,+7.71,560625,67385,0.52,--298213,+155512,+148398,+85852,+64314,+27.07,+27.07,+27.07,+148398,+155512,--298213,0.52
20250117,+123300,+124700,-121800,+124600,+1700,+1.38,315655,39036,0.53,--47937,+79841,--24418,+19772,--74028,+27.03,+27.03,+27.03,--24418,+79841,--47937,0.53
20250120,+125000,+125000,-120100,-123300,-1300,-1.04,223595,27394,0.46,+9068,+51495,--51804,--13611,--57501,+26.94,+26.94,+26.94,--51804,+51495,+9068,0.46
20250121,+123800,+125400,-122700,-122900,-400,-0.32,146617,18129,0.45,--9503,+44523,--27268,--13641,--31496,+26.89,+26.89,+26.89,--27268,+44523,--9503,0.45
20250122,+124400,+127500,+123700,+125500,+2600,+2.12,325407,41009,0.48,--77239,+111834,--30860,--11153,--57790,+26.84,+26.84,+26.84,--30860,+111834,--77239,0.48
20250123,+126400,+126900,-123800,-124600,-900,-0.72,210875,26391,0.47,--4164,+33548,--8090,+13320,--69000,+26.83,+26.83,+26.83,--8090,+33548,--4164,0.47
20250124,+125400,+126800,-121900,+126000,+1400,+1.12,199771,25050,0.44,--37956,+50996,+20939,+22919,--49471,+26.86,+26.86,+26.86,+20939,+50996,--37956,0.44
20250131,+127500,+130000,+126300,+129700,+3700,+2.94,288829,37190,0.44,--79602,+40758,+43655,+58534,+46919,+26.94,+26.94,+26.94,+43655,+40758,--79602,0.44
20250203,-125900,-125900,-122400,-122500,-7200,-5.55,232334,28698,0.43,+36652,+17491,--56934,--35836,--30895,+26.84,+26.84,+26.84,--56934,+17491,+36652,0.43
20250204,+124200,+127300,+123300,+126800,+4300,+3.51,232778,29372,0.41,--45198,+5312,+85760,+47459,--35955,+26.99,+26.99,+26.99,+85760,+5312,--45198,0.41
20250205,126800,+126900,-122000,-122900,-3900,-3.08,266225,32886,0.43,+88975,--41273,--44353,--22650,--43491,+26.91,+26.91,+26.91,--44353,--41273,+88975,0.43
20250206,+123600,+127500,-122100,+126300,+3400,+2.77,257223,32142,0.41,--46168,+25127,+13445,+1723,+17776,+26.93,+26.93,+26.93,+13445,+25127,--46168,0.41
20250207,+127000,+127000,-118100,-118700,-7600,-6.02,683583,81881,0.43,+305938,--119217,--173503,--36219,--213912,+26.63,+26.63,+26.63,--173503,--119217,+305938,0.43
20250210,-118000,+119000,-116100,-117500,-1200,-1.01,228346,26866,0.46,+16711,--25402,--2095,+1583,+910,+26.63,+26.63,+26.63,--2095,--25402,+16711,0.46
20250211,+117900,+118300,-116000,-116600,-900,-0.77,283656,33129,0.53,+81794,--12691,--71849,--70543,--78413,+26.51,+26.51,+26.51,--71849,--12691,+81794,0.53
20250212,-116500,+116900,-115000,-116300,-300,-0.26,225728,26202,0.53,+11425,+28420,--35685,--1717,--8344,+26.45,+26.45,+26.45,--35685,+28420,+11425,0.53
20250213,+116800,+117400,-115600,+116700,+400,+0.34,262149,30565,0.56,+18437,+11656,--33281,--26977,+14034,+26.39,+26.39,+26.39,--33281,+11656,+18437,0.56
20250214,+117500,+120400,+117100,+119100,+2400,+2.06,323799,38555,0.57,--74638,+55651,+21386,+21210,+7118,+26.43,+26.43,+26.43,+21386,+55651,--74638,0.57
20250217,+120000,+120200,-118000,-118400,-700,-0.59,152732,18119,0.57,+48150,--8016,--41354,--26271,--20534,+26.35,+26.35,+26.35,--41354,--8016,+48150,0.57
20250218,118400,+118900,-114300,-115000,-3400,-2.87,372478,43037,0.54,+128908,--76959,--58872,--5138,--46949,+26.25,+26.25,+26.25,--58872,--76959,+128908,0.54
20250219,+115200,+119100,+115100,+117900,+2900,+2.52,309432,36174,0.55,--24732,+5552,+14771,+1062,+49988,+26.28,+26.28,+26.28,+14771,+5552,--24732,0.55
