date,open_pric,high_pric,low_pric,close_pric,pred_rt,flu_rt,trde_qty,amt_mn,crd_rt,ind,orgn,for_qty,frgn,prm,for_rt,for_poss,for_wght,for_netprps,orgn_netprps,ind_netprps,crd_remn_rt
20241202,+315500,+320000,+313500,+316000,+5500,+1.77,30496,9668,0.45,--5335,--132,+5442,+5363,+6131,+28.80,+28.80,+28.80,+5442,--132,--5335,0.45
20241203,+319000,+329000,+319000,+327500,+11500,+3.64,57245,18676,0.47,--27614,+4149,+23662,+21520,+8531,+28.95,+28.95,+28.95,+23662,+4149,--27614,0.47
20241204,-317000,-326000,-315000,-324500,-3000,-0.92,34289,11069,0.46,--6026,+4884,+1108,+1249,+1660,+28.96,+28.96,+28.96,+1108,+4884,--6026,0.46
20241205,-323500,+327500,-320500,324500,0,0.00,23440,7615,0.42,--2054,+3269,--2393,+397,--3265,+28.94,+28.94,+28.94,--2393,+3269,--2054,0.42
20241206,+326500,+330500,-323500,+327000,+2500,+0.77,42495,13905,0.41,--9035,+3769,+4033,--6175,+12200,+28.96,+28.96,+28.96,+4033,+3769,--9035,0.41
20241209,-326500,+332500,-324500,+331000,+4000,+1.22,54681,18055,0.41,--23208,+10785,+12399,+9287,+15279,+29.04,+29.04,+29.04,+12399,+10785,--23208,0.41
20241210,+336000,+342500,+332000,+334000,+3000,+0.91,55878,18800,0.41,+1705,+7524,--9185,--6532,+10080,+28.98,+28.98,+28.98,--9185,+7524,+1705,0.41
20241211,+334500,+339500,-331500,+334500,+500,+0.15,36394,12232,0.39,--730,+5140,--4467,--2844,+5178,+28.95,+28.95,+28.95,--4467,+5140,--730,0.39
20241212,+337000,+339000,-334000,+339000,+4500,+1.35,66764,22542,0.40,--4880,+14732,--9931,--11349,+3553,+28.89,+28.89,+28.89,--9931,+14732,--4880,0.40
20241213,-338500,+341500,-335000,-337500,-1500,-0.44,26825,9078,0.41,--3864,+2487,+528,+802,+8559,+28.89,+28.89,+28.89,+528,+2487,--3864,0.41
20241216,+340000,+341500,-334000,337500,0,0.00,24520,8258,0.40,+2482,+2099,--4285,--3111,+640,+28.86,+28.86,+28.86,--4285,+2099,+2482,0.40
20241217,-334500,337500,-322000,-322000,-15500,-4.59,58091,18937,0.40,+35013,--3996,--31195,--24035,--21512,+28.65,+28.65,+28.65,--31195,--3996,+35013,0.40
20241218,+323500,+324500,-320000,-321000,-1000,-0.31,28046,9024,0.40,+14009,--478,--14005,--12619,--8170,+28.56,+28.56,+28.56,--14005,--478,+14009,0.40
20241219,-317000,-320500,-313000,-316500,-4500,-1.40,30678,9734,0.45,+5709,--4789,--5975,--3358,+3286,+28.52,+28.52,+28.52,--5975,--4789,+5709,0.45
20241220,-315000,+318000,-311500,-311500,-5000,-1.58,36382,11403,0.47,+13482,--2581,--12180,--7298,--66,+28.44,+28.44,+28.44,--12180,--2581,+13482,0.47
20241223,+312500,+315000,-310000,+313500,+2000,+0.64,24630,7706,0.47,+3128,+1390,--4548,--6072,+985,+28.41,+28.41,+28.41,--4548,+1390,+3128,0.47
20241224,313500,+315000,-311000,-312000,-1500,-0.48,21442,6700,0.48,+8450,--2184,--8821,--3457,--2087,+28.36,+28.36,+28.36,--8821,--2184,+8450,0.48
20241226,+314500,+314500,-309500,-309500,-2500,-0.80,32093,9984,0.48,+7772,+1270,--6797,--4327,--3926,+28.31,+28.31,+28.31,--6797,+1270,+7772,0.48
20241227,-309000,+311000,-304000,-307000,-2500,-0.81,32838,10084,0.48,+4575,--2025,--7395,+1555,--370,+28.27,+28.27,+28.27,--7395,--2025,+4575,0.48
20241230,307000,+312000,-305000,-305000,-2000,-0.65,24929,7668,0.50,+1307,+4545,--5926,--4830,--2908,+28.23,+28.23,+28.23,--5926,+4545,+1307,0.50
20250102,305000,+309000,-303000,+306500,+1500,+0.49,26649,8154,0.49,+2334,--4001,+1501,--7418,+590,+28.24,+28.24,+28.24,+1501,--4001,+2334,0.49
