date,open_pric,high_pric,low_pric,close_pric,pred_rt,flu_rt,trde_qty,amt_mn,crd_rt,ind,orgn,for_qty,frgn,prm,for_rt,for_poss,for_wght,for_netprps,orgn_netprps,ind_netprps,crd_remn_rt
20241202,+259000,+264000,+256500,+259000,+4500,+1.77,263742,68536,0.82,--42825,+6731,+64866,--11900,+42410,+36.45,+36.45,+36.45,+64866,+6731,--42825,0.82
20241203,+264000,+268000,259000,+261000,+2000,+0.77,412398,108131,0.85,+27201,+4172,--31385,+9295,+20116,+36.41,+36.41,+36.41,--31385,+4172,+27201,0.85
20241204,-253000,-260500,-252500,-259000,-2000,-0.77,464473,118913,0.83,--6739,+39911,--36466,--39850,+23941,+36.35,+36.35,+36.35,--36466,+39911,--6739,0.83
20241205,259000,+259500,-251000,-251500,-7500,-2.90,305249,77853,0.84,+23131,--7350,--30485,+27443,+6352,+36.30,+36.30,+36.30,--30485,--7350,+23131,0.84
20241206,-251000,+258000,-244500,251500,0,0.00,357397,89889,0.82,--28147,+28591,--6905,--27052,+23598,+36.29,+36.29,+36.29,--6905,+28591,--28147,0.82
20241209,-246000,-248500,-238500,-239500,-12000,-4.77,385207,93769,0.81,+7031,+27529,--34724,--43595,--17533,+36.24,+36.24,+36.24,--34724,+27529,+7031,0.81
20241210,+242000,+254000,+242000,+252500,+13000,+5.43,283648,71029,0.80,--95255,+51808,+42169,--876,+48408,+36.29,+36.29,+36.29,+42169,+51808,--95255,0.80
20241211,-251500,+255500,-246000,-248500,-4000,-1.58,261075,65281,0.80,+75394,--33231,--45399,--25758,--33539,+36.23,+36.23,+36.23,--45399,--33231,+75394,0.80
20241212,+251000,+258500,-247000,+255000,+6500,+2.62,487555,123542,0.77,--1507,--63143,+63548,+37139,+60728,+36.32,+36.32,+36.32,+63548,--63143,--1507,0.77
20241213,+257000,+263000,-253000,+260500,+5500,+2.16,407922,105485,0.80,--27350,+34528,--12412,+7173,+3450,+36.30,+36.30,+36.30,--12412,+34528,--27350,0.80
20241216,+264500,+268000,+261000,+263000,+2500,+0.96,255208,67372,0.79,--11601,+28830,--16280,--2348,--20185,+36.27,+36.27,+36.27,--16280,+28830,--11601,0.79
20241217,-261000,-262000,-245000,-247000,-16000,-6.08,634840,158765,0.80,+237550,--84181,--161179,--114946,--87161,+36.03,+36.03,+36.03,--161179,--84181,+237550,0.80
20241218,+250000,+259500,+248000,+258000,+11000,+4.45,395544,101202,0.79,--134541,+15164,+116620,+57364,+127443,+36.20,+36.20,+36.20,+116620,+15164,--134541,0.79
20241219,-250500,-257500,-248500,-254000,-4000,-1.55,291544,73717,0.85,+30931,--33211,+4618,+35826,--36823,+36.21,+36.21,+36.21,+4618,--33211,+30931,0.85
20241220,+258500,+258500,-248000,-248000,-6000,-2.36,460637,115551,0.79,+72128,--45397,--223707,--5622,--34594,+35.88,+35.88,+35.88,--223707,--45397,+72128,0.79
20241223,+251000,+258000,-243500,+256000,+8000,+3.23,306213,77253,0.80,--93908,+33659,+54949,+33910,+23189,+35.96,+35.96,+35.96,+54949,+33659,--93908,0.80
20241224,+256500,+261000,-254500,-255000,-1000,-0.39,202305,51997,0.80,+2720,--20724,--1655,+39099,--22685,+35.95,+35.95,+35.95,--1655,--20724,+2720,0.80
20241226,+256000,+256500,-247000,-247000,-8000,-3.14,212529,53046,0.78,+70399,--16244,--78619,--8475,--49638,+35.84,+35.84,+35.84,--78619,--16244,+70399,0.78
20241227,-245500,+250000,-242500,+248000,+1000,+0.40,213784,52682,0.77,--26857,--13256,+31171,+41351,+1218,+35.88,+35.88,+35.88,+31171,--13256,--26857,0.77
20241230,-247000,+254000,-247000,-247500,-500,-0.20,195241,48927,0.80,--5678,--4596,+13704,+1426,--9535,+35.90,+35.90,+35.90,+13704,--4596,--5678,0.80
20250102,247500,+250000,-238000,-239500,-8000,-3.23,322723,77590,0.78,+151835,--85227,--67739,--33067,--78004,+35.81,+35.81,+35.81,--67739,--85227,+151835,0.78
20250103,-235000,+249000,-232000,+247000,+7500,+3.13,444831,108621,0.78,--88614,--22422,+141902,+35749,+108333,+36.01,+36.01,+36.01,+141902,--22422,--88614,0.78
20250106,247000,+251000,-243500,+249000,+2000,+0.81,288347,71480,0.82,+8910,--27536,+21858,+16461,+627,+36.04,+36.04,+36.04,+21858,--27536,+8910,0.82
20250107,249000,+254500,-246000,-246500,-2500,-1.00,358935,89640,0.78,+51169,--23792,--23223,--14822,--19076,+36.01,+36.01,+36.01,--23223,--23792,+51169,0.78
20250108,-244500,+252000,-242500,+249500,+3000,+1.22,501773,124636,0.79,--39554,+2842,+38133,--11896,+111556,+36.07,+36.07,+36.07,+38133,+2842,--39554,0.79
20250109,249500,+250500,-237500,-239000,-10500,-4.21,707039,170258,0.80,+401143,--236319,--168344,--107484,--237171,+35.82,+35.82,+35.82,--168344,--236319,+401143,0.80
20250110,239000,+240000,-232500,-234000,-5000,-2.09,404954,94872,0.81,+164959,--133510,--43103,--8382,--57667,+35.76,+35.76,+35.76,--43103,--133510,+164959,0.81
20250113,-232500,+235000,-229500,-229500,-4500,-1.92,367466,85029,0.90,+139536,--71234,--74053,--53648,--85276,+35.65,+35.65,+35.65,--74053,--71234,+139536,0.90
20250114,+232500,+238500,+230500,+236500,+7000,+3.05,354213,83198,0.93,--101912,+33182,+84531,+24907,+70129,+35.77,+35.77,+35.77,+84531,+33182,--101912,0.93
