date,open_pric,high_pric,low_pric,close_pric,pred_rt,flu_rt,trde_qty,amt_mn,crd_rt,ind,orgn,for_qty,frgn,prm,for_rt,for_poss,for_wght,for_netprps,orgn_netprps,ind_netprps,crd_remn_rt
20241202,+57800,+58400,-57200,57300,0,0.00,126996,7329,0.20,--20519,+21235,--819,--13231,--11510,+75.67,+75.67,+75.67,--819,+21235,--20519,0.20
20241203,+58200,+58500,57300,+57600,+300,+0.52,88215,5087,0.20,+6215,--561,--5631,--6269,--1124,+75.66,+75.66,+75.66,--5631,--561,+6215,0.20
20241204,-56800,-57400,-56300,-56900,-700,-1.22,149930,8523,0.20,--1277,+9807,--8950,+1763,--276,+75.65,+75.65,+75.65,--8950,+9807,--1277,0.20
20241205,-56700,-56800,-55300,-55500,-1400,-2.46,139318,7770,0.20,+75679,--14151,--61236,--18566,--62910,+75.59,+75.59,+75.59,--61236,--14151,+75679,0.20
20241206,+55900,+55900,-54100,-55400,-100,-0.18,144888,7962,0.20,--7136,+23875,--24735,--11806,+10328,+75.57,+75.57,+75.57,--24735,+23875,--7136,0.20
20241209,-54900,-54900,-53400,-53600,-1800,-3.25,208987,11214,0.20,+20136,+7849,--46578,+10063,--27565,+75.53,+75.53,+75.53,--46578,+7849,+20136,0.20
20241210,+54100,+56800,53600,+56600,+3000,+5.60,204528,11458,0.20,--98933,+58181,+41469,+50090,+46560,+75.56,+75.56,+75.56,+41469,+58181,--98933,0.20
20241211,+56700,+57200,-56100,+57000,+400,+0.71,96259,5465,0.20,--20936,+26606,--6644,--11769,--15823,+75.56,+75.56,+75.56,--6644,+26606,--20936,0.20
20241212,+57300,+57900,-56600,+57400,+400,+0.70,227875,13082,0.20,--21351,+19863,+1438,--2792,+16210,+75.56,+75.56,+75.56,+1438,+19863,--21351,0.20
20241213,57400,+58300,-56700,+58000,+600,+1.05,160285,9271,0.20,--66085,+45239,+18860,+8529,+44917,+75.57,+75.57,+75.57,+18860,+45239,--66085,0.20
20241216,+58400,+58500,-57100,+58100,+100,+0.17,178611,10322,0.20,--26184,+6793,+21136,+30550,+10696,+75.59,+75.59,+75.59,+21136,+6793,--26184,0.20
20241217,-57700,-57800,-56700,-56700,-1400,-2.41,125357,7134,0.19,+42022,--10392,--33734,--27861,--25705,+75.56,+75.56,+75.56,--33734,--10392,+42022,0.19
20241218,+57200,+57300,-56500,-56500,-200,-0.35,68290,3867,0.19,+17865,+2912,--20899,--26981,--21874,+75.54,+75.54,+75.54,--20899,+2912,+17865,0.19
20241219,-55800,-55900,-55400,-55500,-1000,-1.77,105280,5853,0.20,+53109,--17289,--175595,--36695,--22364,+75.38,+75.38,+75.38,--175595,--17289,+53109,0.20
