date,open_pric,high_pric,low_pric,close_pric,pred_rt,flu_rt,trde_qty,amt_mn,crd_rt,ind,orgn,for_qty,frgn,prm,for_rt,for_poss,for_wght,for_netprps,orgn_netprps,ind_netprps,crd_remn_rt
20241202,+207500,+207500,-191600,-195500,-9000,-4.40,351044,69086,0.35,+37224,--15252,--20654,--17004,--25095,+31.80,+31.80,+31.80,--20654,--15252,+37224,0.35
20241203,+196300,+198700,-194500,+197200,+1700,+0.87,195070,38456,0.36,--28350,+8116,+19757,+2656,+12615,+31.83,+31.83,+31.83,+19757,+8116,--28350,0.36
20241204,-190900,-197100,-188800,-195000,-2200,-1.12,348814,67463,0.36,--23798,+17979,+5426,+18522,+23554,+31.84,+31.84,+31.84,+5426,+17979,--23798,0.36
20241205,195000,+201000,-193900,-194200,-800,-0.41,221059,43473,0.34,--37424,+15259,+22535,+31947,+17961,+31.86,+31.86,+31.86,+22535,+15259,--37424,0.34
20241206,+194600,+194600,-185000,-189300,-4900,-2.52,285597,53936,0.33,+12010,+39388,--57429,--27578,+3882,+31.78,+31.78,+31.78,--57429,+39388,+12010,0.33
20241209,-185000,-189000,-181300,-187900,-1400,-0.74,322889,60052,0.33,--87407,+50483,+35681,+22663,+73256,+31.83,+31.83,+31.83,+35681,+50483,--87407,0.33
20241210,+190000,+199300,187900,+196000,+8100,+4.31,368010,71966,0.33,--33820,+62907,+72077,--21834,--15190,+31.93,+31.93,+31.93,+72077,+62907,--33820,0.33
20241211,196000,+213500,-195100,+211000,+15000,+7.65,402836,83288,0.32,--140386,+61328,+79317,+90684,+87094,+32.04,+32.04,+32.04,+79317,+61328,--140386,0.32
20241212,+211500,+212500,-206000,-210000,-1000,-0.47,408624,85543,0.32,+11206,+71921,--82565,--82078,--14070,+31.93,+31.93,+31.93,--82565,+71921,+11206,0.32
20241213,210000,+213000,-205500,210000,0,0.00,264700,55467,0.30,+70860,--92257,--39861,--2476,--84622,+31.86,+31.86,+31.86,--39861,--92257,+70860,0.30
20241216,+214000,+214500,-202500,-207500,-2500,-1.19,308029,63570,0.30,+96898,--30525,--77136,--52408,--77701,+31.76,+31.76,+31.76,--77136,--30525,+96898,0.30
20241217,-205500,+212000,-204000,+208500,+1000,+0.48,202344,42227,0.33,--22588,+8494,+13875,+2124,+4404,+31.77,+31.77,+31.77,+13875,+8494,--22588,0.33
20241218,208500,+217000,-207500,+209500,+1000,+0.48,292084,62238,0.33,--12868,+8342,+5961,--3509,+28672,+31.78,+31.78,+31.78,+5961,+8342,--12868,0.33
20241219,-204000,+217500,-203500,+214500,+5000,+2.39,309564,66106,0.33,--79556,+1663,+80183,+44672,+24951,+31.89,+31.89,+31.89,+80183,+1663,--79556,0.33
20241220,-214000,+217000,-210000,-212500,-2000,-0.93,249183,53210,0.33,+17133,+1321,--33473,+7016,--12673,+31.84,+31.84,+31.84,--33473,+1321,+17133,0.33
20241223,+216500,+231500,+216000,+230000,+17500,+8.24,508110,115022,0.31,--167478,+76553,+134653,+38771,+79613,+32.03,+32.03,+32.03,+134653,+76553,--167478,0.31
20241224,+230500,+233500,-223500,-226000,-4000,-1.74,268663,60996,0.30,+49052,--36077,--56864,+3739,--35672,+31.95,+31.95,+31.95,--56864,--36077,+49052,0.30
20241226,+231000,+238000,+229000,+235500,+9500,+4.20,371213,87090,0.31,--25105,+9063,+14553,+20414,+3913,+31.97,+31.97,+31.97,+14553,+9063,--25105,0.31
20241227,-233500,235500,-227500,-231000,-4500,-1.91,272043,62737,0.32,+28689,--9216,--52,+10405,--18484,+31.97,+31.97,+31.97,--52,--9216,+28689,0.32
20241230,-229500,+233000,-226500,-228000,-3000,-1.30,175055,40061,0.32,+606,--5137,+4809,+3840,--6252,+31.98,+31.98,+31.98,+4809,--5137,+606,0.32
