date,open_pric,high_pric,low_pric,close_pric,pred_rt,flu_rt,trde_qty,amt_mn,crd_rt,ind,orgn,for_qty,frgn,prm,for_rt,for_poss,for_wght,for_netprps,orgn_netprps,ind_netprps,crd_remn_rt
20241202,+124200,+125400,-122300,+124100,+1100,+0.89,106973,13264,0.07,--24941,+11833,+13139,+25564,--19745,+43.82,+43.82,+43.82,+13139,+11833,--24941,0.07
20241203,+125300,+125700,-120600,-121700,-2400,-1.93,148690,18132,0.07,+20411,--25096,+5035,+5230,--8499,+43.83,+43.83,+43.83,+5035,--25096,+20411,0.07
20241204,-120000,-121600,-117600,-120200,-1500,-1.23,146262,17452,0.07,--34946,+6045,+28953,+2918,+10770,+43.87,+43.87,+43.87,+28953,+6045,--34946,0.07
20241205,-120000,+120900,-116300,-116700,-3500,-2.91,118572,13910,0.08,+2126,--5103,+1766,--19654,--364,+43.86,+43.86,+43.86,+1766,--5103,+2126,0.08
20241206,-116000,+117000,-113200,-114400,-2300,-1.97,131555,15103,0.07,+4624,+23623,--32222,--45863,+22654,+43.82,+43.82,+43.82,--32222,+23623,+4624,0.07
20241209,114400,114400,-111600,-112400,-2000,-1.75,120532,13539,0.07,--24623,+27005,--2486,--26842,+11230,+43.82,+43.82,+43.82,--2486,+27005,--24623,0.07
20241210,+113500,+115200,+112600,+114200,+1800,+1.60,108639,12413,0.07,+16511,+4493,--16709,--18671,+6369,+43.79,+43.79,+43.79,--16709,+4493,+16511,0.07
20241211,-113900,+114800,-112100,-113500,-700,-0.61,155671,17635,0.07,+35428,--40599,+4549,--4923,--1621,+43.80,+43.80,+43.80,+4549,--40599,+35428,0.07
20241212,+114100,+117900,-112700,+117900,+4400,+3.88,168967,19762,0.07,--27782,+41814,--13976,+21237,+26640,+43.78,+43.78,+43.78,--13976,+41814,--27782,0.07
20241213,-117100,+119100,-116300,+118700,+800,+0.68,154814,18232,0.07,--4430,--3559,+6548,+31421,+13892,+43.78,+43.78,+43.78,+6548,--3559,--4430,0.07
20241216,-118300,-118600,-113400,-114000,-4700,-3.96,182710,20973,0.07,+60174,--19687,--40957,--3312,--47269,+43.73,+43.73,+43.73,--40957,--19687,+60174,0.07
20241217,+114400,+115300,-113200,+114900,+900,+0.79,129810,14869,0.07,--12318,+27556,--15145,--23204,--19233,+43.70,+43.70,+43.70,--15145,+27556,--12318,0.07
20241218,+115500,+119300,+115100,+119300,+4400,+3.83,121936,14419,0.09,--43537,+29831,+14262,+3676,+11577,+43.72,+43.72,+43.72,+14262,+29831,--43537,0.09
20241219,-116200,-118300,-115200,-116400,-2900,-2.43,137894,16113,0.09,+11773,+11369,+4101968,--11862,--31066,+49.19,+49.19,+49.19,+4101968,+11369,+11773,0.09
20241220,-115600,+119400,-115600,+116700,+300,+0.26,165070,19352,0.08,--13759,+48482,+3119,--8966,+4368,+49.19,+49.19,+49.19,+3119,+48482,--13759,0.08
20241223,+117800,+120300,-115600,+119100,+2400,+2.06,100244,11877,0.09,--10930,+33036,--21606,--14908,--15433,+49.16,+49.16,+49.16,--21606,+33036,--10930,0.09
20241224,+119200,+119900,-116800,-117900,-1200,-1.01,73167,8612,0.09,--503,+7579,--6264,--5987,--2118,+49.15,+49.15,+49.15,--6264,+7579,--503,0.09
20241226,+118000,+119500,-117400,+119100,+1200,+1.02,87067,10353,0.10,--20639,+28596,--8101,+8733,--8433,+49.14,+49.14,+49.14,--8101,+28596,--20639,0.10
20241227,-118600,-118600,-116200,-117300,-1800,-1.51,75974,8925,0.10,--3352,+18548,--15181,--339,--11574,+49.12,+49.12,+49.12,--15181,+18548,--3352,0.10
20241230,-116200,+120400,-114400,+118100,+800,+0.68,112828,13411,0.10,--27336,+30383,--3019,+946,--4129,+49.12,+49.12,+49.12,--3019,+30383,--27336,0.10
20250102,+122400,+136200,+122100,+133800,+15700,+13.29,779035,102474,0.10,--190490,+172569,+15615,+33821,+102719,+49.14,+49.14,+49.14,+15615,+172569,--190490,0.10
20250103,-133000,+135300,-130700,+134500,+700,+0.52,261916,34901,0.10,--17308,+31040,--9754,--14471,+15650,+49.13,+49.13,+49.13,--9754,+31040,--17308,0.10
20250106,+134600,+135500,-129500,-129900,-4600,-3.42,240468,31501,0.10,+30084,--50341,+15113,--24853,+18948,+49.15,+49.15,+49.15,+15113,--50341,+30084,0.10
