date,open_pric,high_pric,low_pric,close_pric,pred_rt,flu_rt,trde_qty,amt_mn,crd_rt,ind,orgn,for_qty,frgn,prm,for_rt,for_poss,for_wght,for_netprps,orgn_netprps,ind_netprps,crd_remn_rt
20241202,+54300,+54400,-53100,-53600,-600,-1.11,22044867,1184225,0.26,+1197875,+2032509,--3321712,--4827387,--2256632,+51.30,+51.30,+51.30,--3321712,+2032509,+1197875,0.26
20241203,-53100,+54400,-53100,53600,0,0.00,23374603,1257635,0.27,+903748,+294309,--2069584,--2474724,+2134925,+51.26,+51.26,+51.26,--2069584,+294309,+903748,0.27
20241204,-52000,-53400,-52000,-53100,-500,-0.93,29004766,1533224,0.27,+1113911,--345726,--1562245,--3470346,+2325609,+51.24,+51.24,+51.24,--1562245,--345726,+1113911,0.27
20241205,+53200,+54400,+53200,+53700,+600,+1.13,23588277,1270914,0.27,--888301,+2504435,--3595462,--4124234,--2588174,+51.17,+51.17,+51.17,--3595462,+2504435,--888301,0.27
20241206,+53900,+54400,-52700,+54100,+400,+0.74,22861874,1232013,0.27,--2805882,+3144845,--1931032,--1246867,+1786015,+51.13,+51.13,+51.13,--1931032,+3144845,--2805882,0.27
20241209,-53500,+54600,-53200,-53400,-700,-1.29,26227680,1409456,0.27,--2277885,+2470239,--1390556,--1061657,--1797515,+51.11,+51.11,+51.11,--1390556,+2470239,--2277885,0.27
20241210,+54500,+54500,+53700,+54000,+600,+1.12,20783970,1122596,0.26,--100139,+1082090,--2163967,--1994025,--2648138,+51.07,+51.07,+51.07,--2163967,+1082090,--100139,0.26
20241211,-53600,+54200,-53400,54000,0,0.00,14565947,784683,0.25,--42911,+124833,--1755536,--2354396,--69774,+51.04,+51.04,+51.04,--1755536,+124833,--42911,0.25
20241212,54000,+56500,-53900,+55900,+1900,+3.52,33476698,1853172,0.25,--3131158,+2756588,--1123629,--2466832,+4218289,+51.02,+51.02,+51.02,--1123629,+2756588,--3131158,0.25
20241213,-55800,+56300,-55500,+56100,+200,+0.36,15908823,890640,0.25,--204500,+671258,--2294329,--1389656,--2895401,+50.98,+50.98,+50.98,--2294329,+671258,--204500,0.25
20241216,+56300,+56600,-55200,-55600,-500,-0.89,15277277,853551,0.25,+1875151,+180465,--4042606,--692721,--2833465,+50.91,+50.91,+50.91,--4042606,+180465,+1875151,0.25
20241217,-54700,-55200,-54000,-54200,-1400,-2.52,20215230,1099985,0.25,+2675759,+664317,--4474883,--3302778,--805684,+50.82,+50.82,+50.82,--4474883,+664317,+2675759,0.25
20241218,-54100,+55400,-54000,+54900,+700,+1.29,13698937,752377,0.25,--1816299,+80755,+801338,--1180837,+821890,+50.84,+50.84,+50.84,+801338,+80755,--1816299,0.25
20241219,-53500,-53800,-53100,-53100,-1800,-3.28,22481925,1200142,0.26,+7509212,--2803911,--4526038,--5782080,--5287163,+50.76,+50.76,+50.76,--4526038,--2803911,+7509212,0.26
20241220,-52700,53100,-51900,-53000,-100,-0.19,24674774,1292090,0.25,+4687038,--1335038,--6965440,--1912062,--4175794,+50.64,+50.64,+50.64,--6965440,--1335038,+4687038,0.25
20241223,+53400,+54000,+53300,+53500,+500,+0.94,13672650,733841,0.27,--696548,+464199,--2204050,--908556,--625147,+50.60,+50.60,+50.60,--2204050,+464199,--696548,0.27
20241224,+53700,+54500,+53600,+54400,+900,+1.68,11634677,629473,0.27,--3111933,+64871,--606640,+1487070,--910833,+50.59,+50.59,+50.59,--606640,+64871,--3111933,0.27
20241226,+54500,+54600,-53500,-53600,-800,-1.47,10517075,567623,0.26,+242434,--125220,--1723220,--1120415,--1287870,+50.56,+50.56,+50.56,--1723220,--125220,+242434,0.26
20241227,-53500,+54100,-53200,+53700,+100,+0.19,10747196,576023,0.25,--733514,--261276,--1525588,--262241,+262691,+50.54,+50.54,+50.54,--1525588,--261276,--733514,0.25
20241230,-53300,+54000,-53100,-53200,-500,-0.93,12624702,675490,0.26,+1368125,--60782,--4465078,--2598072,--1339909,+50.46,+50.46,+50.46,--4465078,--60782,+1368125,0.26
20250102,-52700,+53600,-52300,+53400,+200,+0.38,16630538,878413,0.25,+1529845,--1588872,--803707,--494665,--1173473,+50.45,+50.45,+50.45,--803707,--1588872,+1529845,0.25
20250103,-52800,+55100,-52800,+54400,+1000,+1.87,19318046,1047542,0.25,--3740211,+2135737,+1326634,--368595,+2249798,+50.47,+50.47,+50.47,+1326634,+2135737,--3740211,0.25
20250106,54400,+56200,-54300,+55900,+1500,+2.76,19034284,1058889,0.25,--3618221,+940903,+1818231,+1138889,+1912462,+50.50,+50.50,+50.50,+1818231,+940903,--3618221,0.25
20250107,+56800,+57300,-55400,-55400,-500,-0.89,17030235,957162,0.25,+72059,--231399,--638113,--257607,--478608,+50.49,+50.49,+50.49,--638113,--231399,+72059,0.25
20250108,-54800,+57500,-54700,+57300,+1900,+3.43,26593553,1508091,0.24,--5937270,+399884,+4680862,+4553619,+4462728,+50.57,+50.57,+50.57,+4680862,+399884,--5937270,0.24
20250109,+57600,+57700,-56100,-56100,-1200,-2.09,24490592,1390326,0.24,+1754456,--3236305,+1617458,+1876284,--3455983,+50.60,+50.60,+50.60,+1617458,--3236305,+1754456,0.24
20250110,56100,+56500,-55200,-55300,-800,-1.43,16059223,893462,0.23,+2824657,--1634708,--890377,--1464244,--596792,+50.58,+50.58,+50.58,--890377,--1634708,+2824657,0.23
20250113,-54600,-55000,-54100,-54100,-1200,-2.17,16868600,917178,0.23,+4028427,--301692,--4755238,--3669075,--2933189,+50.50,+50.50,+50.50,--4755238,--301692,+4028427,0.23
20250114,+54200,+54600,-53700,-53900,-200,-0.37,17465926,944534,0.24,+3334737,--3456,--3892263,--2866476,--2791828,+50.44,+50.44,+50.44,--3892263,--3456,+3334737,0.24
