date,open_pric,high_pric,low_pric,close_pric,pred_rt,flu_rt,trde_qty,amt_mn,crd_rt,ind,orgn,for_qty,frgn,prm,for_rt,for_poss,for_wght,for_netprps,orgn_netprps,ind_netprps,crd_remn_rt
20241202,+9570,+9600,-9460,+9560,+80,+0.84,767350,7317,0.62,--169809,+95384,+78624,+95184,+104658,+20.84,+20.84,+20.84,+78624,+95384,--169809,0.62
20241203,+9620,+10060,+9590,+9800,+240,+2.51,1637355,16117,0.62,--397304,--45024,--823095,+405171,+509387,+20.67,+20.67,+20.67,--823095,--45024,--397304,0.62
20241204,-9590,-9640,-9410,-9530,-270,-2.76,1688251,16058,0.62,+665036,--258951,--396715,--163640,--282905,+20.59,+20.59,+20.59,--396715,--258951,+665036,0.62
20241205,9530,+9570,-9160,-9160,-370,-3.88,1634041,15233,0.61,+504627,--397846,--117739,--37580,--124002,+20.56,+20.56,+20.56,--117739,--397846,+504627,0.61
20241206,+9240,+9380,-9080,+9210,+50,+0.55,1174852,10864,0.63,--146881,--3151,+116744,+121540,+254769,+20.58,+20.58,+20.58,+116744,--3151,--146881,0.63
20241209,-9060,-9070,-8830,-8890,-320,-3.47,1630188,14565,0.64,+134373,--9085,--243799,--23476,--48482,+20.54,+20.54,+20.54,--243799,--9085,+134373,0.64
20241210,+8940,+9180,-8870,+9180,+290,+3.26,1178293,10678,0.63,+17413,--96639,+84650,--22811,+132083,+20.55,+20.55,+20.55,+84650,--96639,+17413,0.63
20241211,-9160,+9470,-9120,+9350,+170,+1.85,903291,8453,0.62,--108498,+33399,+72819,+20435,+101885,+20.56,+20.56,+20.56,+72819,+33399,--108498,0.62
20241212,+9430,+9520,-9290,+9520,+170,+1.82,1535589,14506,0.62,--165262,+98778,+95481,+88406,+351370,+20.58,+20.58,+20.58,+95481,+98778,--165262,0.62
20241213,-9470,+9560,-9450,+9550,+30,+0.32,809988,7713,0.62,--89388,+34627,--705791,+6520,+13610,+20.44,+20.44,+20.44,--705791,+34627,--89388,0.62
20241216,+9600,+9640,-9380,-9410,-140,-1.47,965187,9143,0.61,+248215,--133376,--114234,--111386,--181677,+20.41,+20.41,+20.41,--114234,--133376,+248215,0.61
20241217,-9400,-9400,-9230,-9250,-160,-1.70,1005684,9346,0.61,+95546,+59581,--152116,--297470,--104216,+20.38,+20.38,+20.38,--152116,+59581,+95546,0.61
20241218,+9260,+9490,+9260,+9460,+210,+2.27,833370,7833,0.62,--167533,+113856,+1384099,--93659,+133021,+20.65,+20.65,+20.65,+1384099,+113856,--167533,0.62
20241219,-9240,-9450,-9240,-9310,-150,-1.59,810593,7565,0.62,--53707,+105211,--51767,--55388,--73484,+20.64,+20.64,+20.64,--51767,+105211,--53707,0.62
20241220,-9270,-9270,-9020,-9060,-250,-2.69,1121776,10201,0.62,+407715,--76822,--883919,--201921,--345432,+20.46,+20.46,+20.46,--883919,--76822,+407715,0.62
20241223,+9220,+9660,+9130,+9600,+540,+5.96,1776680,16855,0.62,--981495,+431720,+1810133,+105827,+603001,+20.82,+20.82,+20.82,+1810133,+431720,--981495,0.62
20241224,-9590,+9620,-9410,-9440,-160,-1.67,513138,4869,0.62,+9950,--17178,+155927,--38198,+17153,+20.86,+20.86,+20.86,+155927,--17178,+9950,0.62
20241226,+9510,+9540,-9300,-9370,-70,-0.74,748109,7036,0.60,+62560,+15392,+923370,+47564,--97415,+21.04,+21.04,+21.04,+923370,+15392,+62560,0.60
20241227,9370,+9490,-9180,-9210,-160,-1.71,582986,5405,0.60,+143985,--116012,--156408,+27295,--52850,+21.01,+21.01,+21.01,--156408,--116012,+143985,0.60
20241230,-9100,+9300,-9100,-9130,-80,-0.87,812857,7454,0.59,+173821,--116157,--59400,+35985,--248302,+21.00,+21.00,+21.00,--59400,--116157,+173821,0.59
20250102,+9140,+9180,-9010,-9060,-70,-0.77,598263,5421,0.59,+316633,--124317,--198927,--133033,--217504,+20.96,+20.96,+20.96,--198927,--124317,+316633,0.59
20250103,-9010,+9290,-9010,+9190,+130,+1.43,788303,7273,0.59,--70360,--28866,+101192,+33862,+66737,+20.98,+20.98,+20.98,+101192,--28866,--70360,0.59
20250106,9190,+9380,-9160,+9320,+130,+1.41,694435,6461,0.61,--76659,--80984,+155506,+117,+67152,+21.01,+21.01,+21.01,+155506,--80984,--76659,0.61
20250107,+9330,+9430,9320,+9340,+20,+0.21,635185,5957,0.61,--53732,+31671,+15697,--65692,+6038,+21.01,+21.01,+21.01,+15697,+31671,--53732,0.61
20250108,-9270,+9500,-9260,+9420,+80,+0.86,886516,8355,0.61,--139668,+56368,--225814,+23949,+116314,+20.97,+20.97,+20.97,--225814,+56368,--139668,0.61
20250109,-9400,+9470,-9350,-9380,-40,-0.42,1047300,9851,0.61,+88040,--250831,+160428,+99078,+16500,+21.00,+21.00,+21.00,+160428,--250831,+88040,0.61
20250110,-9350,+9480,-9310,-9360,-20,-0.21,578273,5424,0.61,+98821,--75804,--24202,--16731,--22874,+20.99,+20.99,+20.99,--24202,--75804,+98821,0.61
20250113,-9340,+9390,-9090,-9100,-260,-2.78,1136928,10400,0.64,+556954,--246152,--317035,--188206,--298077,+20.93,+20.93,+20.93,--317035,--246152,+556954,0.64
20250114,+9190,+9190,-9070,+9110,+10,+0.11,506686,4620,0.64,+157580,+130,--144469,--104141,--120262,+20.90,+20.90,+20.90,--144469,+130,+157580,0.64
20250115,+9190,+9300,-9050,-9050,-60,-0.66,995093,9069,0.66,+376493,--141342,--239988,--313155,--193390,+20.85,+20.85,+20.85,--239988,--141342,+376493,0.66
20250116,+9120,+9230,-8910,-8940,-110,-1.22,2766458,24918,0.67,+1726215,--1073459,--658901,--298099,--647020,+20.72,+20.72,+20.72,--658901,--1073459,+1726215,0.67
20250117,+9020,+9090,-8930,+8970,+30,+0.34,1312272,11791,0.66,+204255,--198921,--21761,--62430,+21859,+20.72,+20.72,+20.72,--21761,--198921,+204255,0.66
20250120,+9000,+9010,-8920,-8960,-10,-0.11,795562,7125,0.69,+174066,--223393,+52840,--17479,+34405,+20.73,+20.73,+20.73,+52840,--223393,+174066,0.69
20250121,+9000,+9030,-8890,-8950,-10,-0.11,916202,8193,0.69,+152834,--47508,--108320,--106220,--77823,+20.71,+20.71,+20.71,--108320,--47508,+152834,0.69
20250122,+9030,+9220,+8980,+9160,+210,+2.35,1671174,15290,0.69,--597639,+152869,+444172,+103990,+434332,+20.80,+20.80,+20.80,+444172,+152869,--597639,0.69
20250123,+9200,+9210,-8980,-8990,-170,-1.86,1008455,9100,0.69,+311680,--137017,--179697,+58903,--214951,+20.76,+20.76,+20.76,--179697,--137017,+311680,0.69
20250124,+9040,+9140,8990,+9050,+60,+0.67,716895,6508,0.67,--171777,--47903,+222195,+100809,+215519,+20.81,+20.81,+20.81,+222195,--47903,--171777,0.67
20250131,+9130,+9300,-9010,+9250,+200,+2.21,1358515,12502,0.68,--577491,+125987,+475545,+233531,+464307,+20.90,+20.90,+20.90,+475545,+125987,--577491,0.68
20250203,-9130,-9130,-8880,-8900,-350,-3.78,1509465,13479,0.66,+789639,--287803,--517974,--162812,--599045,+20.80,+20.80,+20.80,--517974,--287803,+789639,0.66
20250204,+8980,+9250,+8930,+9070,+170,+1.91,1337867,12182,0.66,--588264,+237311,+329939,+105720,+389776,+20.87,+20.87,+20.87,+329939,+237311,--588264,0.66
20250205,+9100,+9220,+9100,+9140,+70,+0.77,718924,6594,0.68,--246309,+84529,+157509,+66913,+169690,+20.89,+20.89,+20.89,+157509,+84529,--246309,0.68
20250206,+9190,+9680,-9130,+9680,+540,+5.91,2706971,25600,0.62,--1520856,+598176,--67914,+503092,+1015885,+20.88,+20.88,+20.88,--67914,+598176,--1520856,0.62
20250207,-9600,-9600,-9300,-9310,-370,-3.82,1186158,11160,0.62,+348611,--79187,--268686,--99990,--336498,+20.82,+20.82,+20.82,--268686,--79187,+348611,0.62
20250210,-9290,+9330,-9190,-9220,-90,-0.97,757860,7004,0.59,+139439,--11110,--127860,--120287,--177597,+20.80,+20.80,+20.80,--127860,--11110,+139439,0.59
20250211,+9300,+9520,-9170,+9260,+40,+0.43,1081770,10039,0.62,+156341,--170000,+39457,+89410,--124407,+20.81,+20.81,+20.81,+39457,--170000,+156341,0.62
20250212,+9330,+9430,9260,+9350,+90,+0.97,694630,6508,0.63,--144888,+8450,+119950,+88256,+109359,+20.83,+20.83,+20.83,+119950,+8450,--144888,0.63
20250213,+9370,+9470,-9290,+9470,+120,+1.28,1099141,10352,0.62,--234168,+84812,+157233,+252991,+200061,+20.86,+20.86,+20.86,+157233,+84812,--234168,0.62
