date,open_pric,high_pric,low_pric,close_pric,pred_rt,flu_rt,trde_qty,amt_mn,crd_rt,ind,orgn,for_qty,frgn,prm,for_rt,for_poss,for_wght,for_netprps,orgn_netprps,ind_netprps,crd_remn_rt
20241202,+27550,+27580,-26840,-26865,-465,-1.70,511893,13828,0.40,+26540,--27223,--1744,0,0,+0.07,+0.07,+0.07,--1744,--27223,+26540,0.40
20241203,-26750,+27520,-26750,+27450,+585,+2.18,481154,13174,0.41,--31836,+27833,+3817,0,0,+0.09,+0.09,+0.09,+3817,+27833,--31836,0.41
20241204,-26825,+27500,-26800,-27345,-105,-0.38,627594,17101,0.43,--30823,+32926,--2000,0,0,+0.08,+0.08,+0.08,--2000,+32926,--30823,0.43
20241205,+27550,+28365,+27545,+28065,+720,+2.63,601794,16908,0.37,--55759,+56548,--163,+15875,0,+0.08,+0.08,+0.08,--163,+56548,--55759,0.37
20241206,+28075,+28085,-26925,-27560,-505,-1.80,868641,23826,0.34,+3163,--487,--2538,0,0,+0.07,+0.07,+0.07,--2538,--487,+3163,0.34
20241209,-27080,-27315,-26695,-26695,-865,-3.14,682073,18374,0.33,--1054,+1685,--842,0,0,+0.06,+0.06,+0.06,--842,+1685,--1054,0.33
20241210,+26920,+27265,+26920,+27145,+450,+1.69,444711,12075,0.35,--9241,+9676,+3911,0,0,+0.09,+0.09,+0.09,+3911,+9676,--9241,0.35
20241211,-26970,+27865,-26955,+27865,+720,+2.65,739057,20384,0.33,+2996,--3179,0,0,0,+0.09,+0.09,+0.09,0,--3179,+2996,0.33
20241212,+28310,+28905,+28110,+28750,+885,+3.18,585917,16731,0.32,+2296,+953,0,0,0,+0.09,+0.09,+0.09,0,+953,+2296,0.32
20241213,-28595,+28965,-28520,+28795,+45,+0.16,336027,9654,0.32,+4826,--4562,--4,0,0,+0.09,+0.09,+0.09,--4,--4562,+4826,0.32
20241216,+29100,+29300,+28900,+29070,+275,+0.96,342312,9961,0.32,--18100,--28851,+46952,0,0,+0.38,+0.38,+0.38,+46952,--28851,--18100,0.32
20241217,+29340,+29680,+29310,+29565,+495,+1.70,696049,20550,0.31,--42608,+43779,--1004,0,0,+0.37,+0.37,+0.37,--1004,+43779,--42608,0.31
20241218,-29410,+29915,-29395,+29860,+295,+1.00,520244,15468,0.30,--15486,+9899,+5613,0,0,+0.41,+0.41,+0.41,+5613,+9899,--15486,0.30
20241219,-28745,-29100,-28670,-28925,-935,-3.13,389304,11259,0.29,+9745,+43016,--52645,0,0,+0.08,+0.08,+0.08,--52645,+43016,+9745,0.29
20241220,28925,28925,-27930,-28145,-780,-2.70,390074,10988,0.29,+12796,--14076,+1216,0,0,+0.09,+0.09,+0.09,+1216,--14076,+12796,0.29
20241223,+28445,+29210,+28310,+28930,+785,+2.79,379901,10993,0.30,--6737,--50308,+56874,0,0,+0.44,+0.44,+0.44,+56874,--50308,--6737,0.30
20241224,+29215,+29285,-28890,+28945,+15,+0.05,309066,8990,0.31,+9326,+55047,--64216,0,0,+0.04,+0.04,+0.04,--64216,+55047,+9326,0.31
20241226,+29160,+29220,-28570,-28630,-315,-1.09,308552,8857,0.29,--18510,--11843,+30178,0,0,+0.23,+0.23,+0.23,+30178,--11843,--18510,0.29
20241227,-28575,+29365,-28575,+28925,+295,+1.03,561451,16251,0.29,--8335,--28479,+36432,0,0,+0.46,+0.46,+0.46,+36432,--28479,--8335,0.29
20241230,-28705,+29055,-28560,+28935,+10,+0.03,242542,7007,0.25,+9938,+10775,--20489,0,0,+0.31,+0.31,+0.31,--20489,+10775,+9938,0.25
20250102,-28625,+29175,-28425,+29110,+175,+0.60,396535,11418,0.28,--3900,--32661,+31384,--18676,0,+0.50,+0.50,+0.50,+31384,--32661,--3900,0.28
20250103,+29200,+30735,+29200,+30500,+1390,+4.77,957144,29049,0.29,--14800,+69644,--46274,0,0,+0.23,+0.23,+0.23,--46274,+69644,--14800,0.29
20250106,+30980,+32220,+30975,+32100,+1600,+5.25,1315776,41874,0.28,--27410,+49176,--21425,0,0,+0.10,+0.10,+0.10,--21425,+49176,--27410,0.28
20250107,+32760,+32855,-31700,-31715,-385,-1.20,922269,29678,0.32,--13700,+17661,--4067,0,0,+0.07,+0.07,+0.07,--4067,+17661,--13700,0.32
20250108,-31290,+32905,-31205,+32835,+1120,+3.53,1057786,34265,0.33,--8954,+7346,+1171,0,0,+0.08,+0.08,+0.08,+1171,+7346,--8954,0.33
20250109,+33085,+33330,+32920,+33015,+180,+0.55,1304398,43254,0.29,--32642,+25522,+5481,0,0,+0.12,+0.12,+0.12,+5481,+25522,--32642,0.29
20250110,+33135,+33510,-32745,-32820,-195,-0.59,868066,28673,0.28,--15662,+24707,--9296,0,0,+0.06,+0.06,+0.06,--9296,+24707,--15662,0.28
20250113,-32415,-32600,-31740,-31775,-1045,-3.18,590421,18972,0.27,--3128,+17089,+341,0,0,+0.06,+0.06,+0.06,+341,+17089,--3128,0.27
20250114,+31950,+32085,-31600,+31925,+150,+0.47,536241,17069,0.27,+15231,--51323,+33246,0,0,+0.26,+0.26,+0.26,+33246,--51323,+15231,0.27
20250115,+32070,+32540,+32000,+32050,+125,+0.39,600578,19355,0.31,--7514,+34374,--27072,0,0,+0.10,+0.10,+0.10,--27072,+34374,--7514,0.31
20250116,+32800,+33120,+32670,+32760,+710,+2.22,652658,21462,0.32,--15412,+14395,+8885,0,0,+0.15,+0.15,+0.15,+8885,+14395,--15412,0.32
20250117,-32710,+33620,-32680,+33525,+765,+2.34,713251,23790,0.31,--44410,+48094,--3293,0,0,+0.13,+0.13,+0.13,--3293,+48094,--44410,0.31
20250120,+33800,+33815,-33205,-33360,-165,-0.49,512480,17165,0.27,--4816,+10307,--7322,0,0,+0.09,+0.09,+0.09,--7322,+10307,--4816,0.27
20250121,+33735,+34270,+33550,+34045,+685,+2.05,747393,25363,0.22,--23604,+10465,+15805,0,0,+0.18,+0.18,+0.18,+15805,+10465,--23604,0.22
20250122,+34325,+35070,-33995,+35025,+980,+2.88,1055128,36559,0.23,--55464,+52249,+3647,0,0,+0.20,+0.20,+0.20,+3647,+52249,--55464,0.23
20250123,-34845,-34845,-34165,-34275,-750,-2.14,812429,27952,0.23,+9757,+7139,--14853,0,0,+0.11,+0.11,+0.11,--14853,+7139,+9757,0.23
20250124,+34370,+34960,34275,+34405,+130,+0.38,873472,30180,0.22,--6291,--37920,+44713,0,0,+0.38,+0.38,+0.38,+44713,--37920,--6291,0.22
20250131,-32350,-32920,-32230,-32495,-1910,-5.55,1194377,38882,0.22,+106150,--86869,--22790,0,0,+0.24,+0.24,+0.24,--22790,--86869,+106150,0.22
20250203,-31490,-31500,-30575,-30835,-1660,-5.11,1390160,42941,0.21,+51182,--64158,+11914,0,0,+0.31,+0.31,+0.31,+11914,--64158,+51182,0.21
20250204,+31390,+31920,+31130,+31150,+315,+1.02,597262,18801,0.27,--7507,+10186,--2627,0,0,+0.29,+0.29,+0.29,--2627,+10186,--7507,0.27
20250205,+31545,+32000,+31545,+31840,+690,+2.22,552659,17598,0.27,--11710,+4896,+7489,0,0,+0.33,+0.33,+0.33,+7489,+4896,--11710,0.27
20250206,+32460,+32800,+32205,+32790,+950,+2.98,682412,22180,0.25,--39519,+51581,--8540,0,0,+0.28,+0.28,+0.28,--8540,+51581,--39519,0.25
20250207,+32895,+33415,-32725,+33270,+480,+1.46,739947,24482,0.26,--30604,+58924,--27921,0,0,+0.12,+0.12,+0.12,--27921,+58924,--30604,0.26
20250210,-32770,+33800,-32470,+33730,+460,+1.38,762194,25235,0.23,--2607,--7361,+10140,0,0,+0.18,+0.18,+0.18,+10140,--7361,--2607,0.23
20250211,+34070,+34070,-33545,+33755,+25,+0.07,717742,24269,0.22,--20766,--9142,+29884,0,0,+0.36,+0.36,+0.36,+29884,--9142,--20766,0.22
20250212,-33520,+33820,-33295,-33620,-135,-0.40,440530,14785,0.24,--11903,+45448,--33651,0,0,+0.16,+0.16,+0.16,--33651,+45448,--11903,0.24
20250213,+33740,+34265,+33730,+34170,+550,+1.64,588073,20000,0.24,--10224,--9021,+20101,0,0,+0.28,+0.28,+0.28,+20101,--9021,--10224,0.24
