date,open_pric,high_pric,low_pric,close_pric,pred_rt,flu_rt,trde_qty,amt_mn,crd_rt,ind,orgn,for_qty,frgn,prm,for_rt,for_poss,for_wght,for_netprps,orgn_netprps,ind_netprps,crd_remn_rt
20241202,+283500,+306000,+283500,+302000,+22000,+7.86,1204378,355660,1.40,--186361,+119393,+79072,+28812,+87436,+15.15,+15.15,+15.15,+79072,+119393,--186361,1.40
20241203,+307500,+328500,+305500,+325000,+23000,+7.62,1147622,369487,1.37,--109560,+41104,+61598,+6796,+42917,+15.27,+15.27,+15.27,+61598,+41104,--109560,1.37
20241204,-323000,+330000,-309500,-318000,-7000,-2.15,1409312,448231,1.37,+152020,--44742,--113927,--29149,--92205,+15.06,+15.06,+15.06,--113927,--44742,+152020,1.37
20241205,+321000,+324500,-309500,-311000,-7000,-2.20,640971,202694,1.39,+20629,+2630,--19535,--4065,--26641,+15.01,+15.01,+15.01,--19535,+2630,+20629,1.39
20241206,+314000,+314500,-295000,-306000,-5000,-1.61,1086109,329240,1.42,--74182,+42307,+32578,--971,+77363,+15.07,+15.07,+15.07,+32578,+42307,--74182,1.42
20241209,-295000,-301000,-280000,-285000,-21000,-6.86,1192141,346178,1.41,--151328,+49901,+98685,+63778,+80485,+15.26,+15.26,+15.26,+98685,+49901,--151328,1.41
20241210,+296500,+321500,+294000,+318000,+33000,+11.58,1250760,388844,1.41,--152120,+77567,+54991,+1747,+62925,+15.35,+15.35,+15.35,+54991,+77567,--152120,1.41
20241211,-317500,-317500,-306500,-308000,-10000,-3.14,645538,200619,1.39,+162018,--15495,--139034,--27153,--164183,+15.09,+15.09,+15.09,--139034,--15495,+162018,1.39
20241212,+309500,+323500,-305500,+312500,+4500,+1.46,1203599,377745,1.42,+86336,--88614,--6444,+3936,--64635,+15.08,+15.08,+15.08,--6444,--88614,+86336,1.42
20241213,+315000,+320500,-308000,+317000,+4500,+1.44,587113,185015,1.44,--65515,+38894,+19598,+24076,--4736,+15.11,+15.11,+15.11,+19598,+38894,--65515,1.44
20241216,+324500,+325000,-306500,-310500,-6500,-2.05,730264,230326,1.47,+136769,--58224,--69703,--1454,--88109,+14.98,+14.98,+14.98,--69703,--58224,+136769,1.47
20241217,-309000,-309000,-298500,-301500,-9000,-2.90,615191,186235,1.47,+18937,--9071,--11877,--38609,--16327,+14.95,+14.95,+14.95,--11877,--9071,+18937,1.47
20241218,-301000,+305000,-292000,-297000,-4500,-1.49,679099,202070,1.48,+12970,--6044,--9559,--351,+3842,+14.93,+14.93,+14.93,--9559,--6044,+12970,1.48
20241219,-285500,-292500,-282000,-286500,-10500,-3.54,728493,209005,1.49,+9412,--3334,+6378,+3449,--6188,+14.94,+14.94,+14.94,+6378,--3334,+9412,1.49
20241220,+287000,+290000,-274000,-277000,-9500,-3.32,780652,218877,1.51,--2457,--7345,--1976,+18660,+22984,+14.94,+14.94,+14.94,--1976,--7345,--2457,1.51
20241223,+284000,+287000,-275500,277000,0,0.00,783284,219605,1.48,--161115,+113712,+22269,+1248,+27427,+14.98,+14.98,+14.98,+22269,+113712,--161115,1.48
20241224,+280000,+299500,-275500,+296000,+19000,+6.86,1769852,509108,1.45,--315354,+221477,+316859,+1994,+112995,+15.57,+15.57,+15.57,+316859,+221477,--315354,1.45
20241226,+301000,+305500,-294500,+301500,+5500,+1.86,1439262,431567,1.46,--236937,+215259,+27454,+22199,+44435,+15.62,+15.62,+15.62,+27454,+215259,--236937,1.46
20241227,+305000,+311500,-297000,-301000,-500,-0.17,1730717,525251,1.51,+433625,--227338,--212163,--31935,--220875,+15.23,+15.23,+15.23,--212163,--227338,+433625,1.51
20241230,-297000,+318000,-297000,+309500,+8500,+2.82,809120,251998,1.55,--62829,--14943,+69100,+11256,+71709,+15.36,+15.36,+15.36,+69100,--14943,--62829,1.55
20250102,-308000,+311000,-298500,-300000,-9500,-3.07,593351,180304,1.53,+227781,--80893,--136095,--60092,--148581,+15.10,+15.10,+15.10,--136095,--80893,+227781,1.53
20250103,300000,+319500,-298000,+318500,+18500,+6.17,739646,229685,1.54,--229008,+67983,+161908,+30312,+162203,+15.40,+15.40,+15.40,+161908,+67983,--229008,1.54
20250106,-315500,318500,-307000,-315500,-3000,-0.94,577381,180411,1.54,+141688,--30022,--98461,--50623,--130232,+15.22,+15.22,+15.22,--98461,--30022,+141688,1.54
20250107,-312500,+332500,-312500,+326000,+10500,+3.33,794138,258162,1.53,--33770,--4473,+37169,+10461,+21222,+15.29,+15.29,+15.29,+37169,--4473,--33770,1.53
20250108,-321500,-323000,-308500,-310000,-16000,-4.91,654854,205811,1.51,+301690,--186130,--117644,--26996,--123434,+15.07,+15.07,+15.07,--117644,--186130,+301690,1.51
20250109,+312000,+314500,-299500,-309000,-1000,-0.32,641125,197594,1.46,+72961,--83854,+29762,--43229,--28532,+15.12,+15.12,+15.12,+29762,--83854,+72961,1.46
20250110,309000,+312000,-303000,+309500,+500,+0.16,335293,103170,1.43,+44958,--38942,--7117,--19361,--19730,+15.11,+15.11,+15.11,--7117,--38942,+44958,1.43
20250113,-303000,-308500,-298500,-299000,-10500,-3.39,339664,102467,1.41,+66157,--32190,--25044,--15606,--37659,+15.06,+15.06,+15.06,--25044,--32190,+66157,1.41
20250114,+303500,+312000,+302000,+307500,+8500,+2.84,244268,74986,1.39,--51471,+17696,+29563,--1847,+29939,+15.12,+15.12,+15.12,+29563,+17696,--51471,1.39
